’’	''	ἀεί	a)ei/	urn:cite2:hmt:lsj.chicago_md:n1564	d--------
βουλόμεθα	boulo/meqa	βούλομαι	bou/lomai	urn:cite2:hmt:lsj.chicago_md:n20621	v1ppie---
βουλόμεθα	boulo/meqa	βούλομαι	bou/lomai	urn:cite2:hmt:lsj.chicago_md:n20621	v1piie---
βουλόμενοι	boulo/menoi	βούλομαι	bou/lomai	urn:cite2:hmt:lsj.chicago_md:n20621	v-pppemn-
βουλόμενοι	boulo/menoi	βούλομαι	bou/lomai	urn:cite2:hmt:lsj.chicago_md:n20621	v-pppemv-
βουλόμενον	boulo/menon	βούλομαι	bou/lomai	urn:cite2:hmt:lsj.chicago_md:n20621	v-sppema-
βουλόμενον	boulo/menon	βούλομαι	bou/lomai	urn:cite2:hmt:lsj.chicago_md:n20621	v-sppenn-
βουλόμενον	boulo/menon	βούλομαι	bou/lomai	urn:cite2:hmt:lsj.chicago_md:n20621	v-sppenv-
βουλόμενον	boulo/menon	βούλομαι	bou/lomai	urn:cite2:hmt:lsj.chicago_md:n20621	v-sppena-
βουλόμενος	boulo/menos	βούλομαι	bou/lomai	urn:cite2:hmt:lsj.chicago_md:n20621	v-sppemn-
βουλῆς	boulh=s	βουλεύς	bouleu/s	urn:cite2:hmt:lsj.chicago_md:n20588	n-p---mn-
βουλῆς	boulh=s	βουλεύς	bouleu/s	urn:cite2:hmt:lsj.chicago_md:n20588	n-p---mn-
βουλῆς	boulh=s	βουλεύς	bouleu/s	urn:cite2:hmt:lsj.chicago_md:n20588	n-p---mv-
βουλῆς	boulh=s	βουλή	boulh/	urn:cite2:hmt:lsj.chicago_md:n20600	n-s---fg-
βοήθειαν	boh/qeian	βοήθεια	boh/qeia	urn:cite2:hmt:lsj.chicago_md:n20212	n-s---fa-
βούλεται	bou/letai	βούλομαι	bou/lomai	urn:cite2:hmt:lsj.chicago_md:n20621	v3spie---
βούλοιντο	bou/lointo	βούλομαι	bou/lomai	urn:cite2:hmt:lsj.chicago_md:n20621	v3ppoe---
βούλοιτο	bou/loito	βούλομαι	bou/lomai	urn:cite2:hmt:lsj.chicago_md:n20621	v3spoe---
βούλοιτό	bou/loito/	βούλομαι	bou/lomai	urn:cite2:hmt:lsj.chicago_md:n20621	v3spoe---
βοῶντες	bow=ntes	βοάω	boa/w	urn:cite2:hmt:lsj.chicago_md:n20195	v-pppamn-
βοῶντες	bow=ntes	βοάω	boa/w	urn:cite2:hmt:lsj.chicago_md:n20195	v-pppamv-
βοῶντες	bow=ntes	βοόω	boo/w	urn:cite2:hmt:lsj.chicago_md:n20347	v-pppamn-
βοῶντες	bow=ntes	βοόω	boo/w	urn:cite2:hmt:lsj.chicago_md:n20347	v-pppamv-
βραδέως	brade/ws	βραδύς	bradu/s	urn:cite2:hmt:lsj.chicago_md:n20795	d--------
βραδέως	brade/ws	βραδύς	bradu/s	urn:cite2:hmt:lsj.chicago_md:n20795	x--------
βραχέα	braxe/a	βραχύς	braxu/s	urn:cite2:hmt:lsj.chicago_md:n20885	a-p---nn-
βραχέα	braxe/a	βραχύς	braxu/s	urn:cite2:hmt:lsj.chicago_md:n20885	a-p---nv-
βραχέα	braxe/a	βραχύς	braxu/s	urn:cite2:hmt:lsj.chicago_md:n20885	a-p---na-
βραχέα	braxe/a	βραχύς	braxu/s	urn:cite2:hmt:lsj.chicago_md:n20885	a-d---fn-
βραχέα	braxe/a	βραχύς	braxu/s	urn:cite2:hmt:lsj.chicago_md:n20885	a-d---fv-
βραχέα	braxe/a	βραχύς	braxu/s	urn:cite2:hmt:lsj.chicago_md:n20885	a-d---fa-
βραχέα	braxe/a	βραχύς	braxu/s	urn:cite2:hmt:lsj.chicago_md:n20885	a-s---fn-
βραχέα	braxe/a	βραχύς	braxu/s	urn:cite2:hmt:lsj.chicago_md:n20885	a-s---fv-
βραχύνοντας	braxu/nontas	βραχύνω	braxu/nw	urn:cite2:hmt:lsj.chicago_md:n20869	v-pppama-
βροντᾶν	bronta=n	βρόντης	bro/nths	urn:cite2:hmt:lsj.chicago_md:n21031	n-p---mg-
βροντᾶν	bronta=n	βροντάω	bronta/w	urn:cite2:hmt:lsj.chicago_md:n21027	v-sppamv-
βροντᾶν	bronta=n	βροντάω	bronta/w	urn:cite2:hmt:lsj.chicago_md:n21027	v-sppann-
βροντᾶν	bronta=n	βροντάω	bronta/w	urn:cite2:hmt:lsj.chicago_md:n21027	v-sppanv-
βροντᾶν	bronta=n	βροντάω	bronta/w	urn:cite2:hmt:lsj.chicago_md:n21027	v-sppana-
βροντᾶν	bronta=n	βροντάω	bronta/w	urn:cite2:hmt:lsj.chicago_md:n21027	v-sppamn-
βροντᾶν	bronta=n	βροντάω	bronta/w	urn:cite2:hmt:lsj.chicago_md:n21027	v--pna---
βροντᾶν	bronta=n	βροντάω	bronta/w	urn:cite2:hmt:lsj.chicago_md:n21027	v--pna---
βροντᾶν	bronta=n	βροντάζω	bronta/zw	urn:cite2:hmt:lsj.chicago_md:n21025	v-sfpamv-
βροντᾶν	bronta=n	βροντάζω	bronta/zw	urn:cite2:hmt:lsj.chicago_md:n21025	v-sfpann-
βροντᾶν	bronta=n	βροντάζω	bronta/zw	urn:cite2:hmt:lsj.chicago_md:n21025	v-sfpanv-
βροντᾶν	bronta=n	βροντάζω	bronta/zw	urn:cite2:hmt:lsj.chicago_md:n21025	v-sfpana-
βροντᾶν	bronta=n	βροντάζω	bronta/zw	urn:cite2:hmt:lsj.chicago_md:n21025	v-sfpamn-
βροντᾶν	bronta=n	βροντάζω	bronta/zw	urn:cite2:hmt:lsj.chicago_md:n21025	v--fna---
βροντᾶν	bronta=n	βροντή	bronth/	urn:cite2:hmt:lsj.chicago_md:n21029	n-p---fg-
βρύχεις	bru/xeis	βρύκω	bru/kw	urn:cite2:hmt:lsj.chicago_md:n21102	v2spia---
βωμολοχίας	bwmoloxi/as	βωμολοχία	bwmoloxi/a	urn:cite2:hmt:lsj.chicago_md:n21331	n-p---fa-
βωμολοχίας	bwmoloxi/as	βωμολοχία	bwmoloxi/a	urn:cite2:hmt:lsj.chicago_md:n21331	n-s---fg-
βωμοῦ	bwmou=	βωμός	bwmo/s	urn:cite2:hmt:lsj.chicago_md:n21335	n-s---mg-
βωμόν	bwmo/n	βωμός	bwmo/s	urn:cite2:hmt:lsj.chicago_md:n21335	n-s---ma-
βάναυσον	ba/nauson	βάναυσος	ba/nausos	urn:cite2:hmt:lsj.chicago_md:n19307	n-s---ma-
βάναυσον	ba/nauson	βάναυσος	ba/nausos	urn:cite2:hmt:lsj.chicago_md:n19307	n-s---fa-
βάναυσον	ba/nauson	βάναυσος	ba/nausos	urn:cite2:hmt:lsj.chicago_md:n19307	n-s---nn-
βάναυσον	ba/nauson	βάναυσος	ba/nausos	urn:cite2:hmt:lsj.chicago_md:n19307	n-s---nv-
βάναυσον	ba/nauson	βάναυσος	ba/nausos	urn:cite2:hmt:lsj.chicago_md:n19307	n-s---na-
βάρβαροι	ba/rbaroi	βάρβαρος	ba/rbaros	urn:cite2:hmt:lsj.chicago_md:n19346	n-p---mn-
βάρβαροι	ba/rbaroi	βάρβαρος	ba/rbaros	urn:cite2:hmt:lsj.chicago_md:n19346	n-p---mv-
βάρβαροι	ba/rbaroi	βάρβαρος	ba/rbaros	urn:cite2:hmt:lsj.chicago_md:n19346	n-p---fn-
βάρβαροι	ba/rbaroi	βάρβαρος	ba/rbaros	urn:cite2:hmt:lsj.chicago_md:n19346	n-p---fv-
βάρβαρον	ba/rbaron	βάρβαρος	ba/rbaros	urn:cite2:hmt:lsj.chicago_md:n19346	n-s---ma-
βάρβαρον	ba/rbaron	βάρβαρος	ba/rbaros	urn:cite2:hmt:lsj.chicago_md:n19346	n-s---fa-
βάρβαρον	ba/rbaron	βάρβαρος	ba/rbaros	urn:cite2:hmt:lsj.chicago_md:n19346	n-s---nn-
βάρβαρον	ba/rbaron	βάρβαρος	ba/rbaros	urn:cite2:hmt:lsj.chicago_md:n19346	n-s---nv-
βάρβαρον	ba/rbaron	βάρβαρος	ba/rbaros	urn:cite2:hmt:lsj.chicago_md:n19346	n-s---na-
βάρος	ba/ros	βάρος	ba/ros	urn:cite2:hmt:lsj.chicago_md:n19381	n-s---nn-
βάρος	ba/ros	βάρος	ba/ros	urn:cite2:hmt:lsj.chicago_md:n19381	n-s---nv-
βάρος	ba/ros	βάρος	ba/ros	urn:cite2:hmt:lsj.chicago_md:n19381	n-s---na-
βάσιν	ba/sin	βάσις	ba/sis	urn:cite2:hmt:lsj.chicago_md:n19563	n-s---fa-
βέλτιον	be/ltion	βελτίων	belti/wn	urn:cite2:hmt:lsj.chicago_md:n19789	a-s---mv-
βέλτιον	be/ltion	βελτίων	belti/wn	urn:cite2:hmt:lsj.chicago_md:n19789	a-s---fv-
βέλτιον	be/ltion	βελτίων	belti/wn	urn:cite2:hmt:lsj.chicago_md:n19789	a-s---nn-
βέλτιον	be/ltion	βελτίων	belti/wn	urn:cite2:hmt:lsj.chicago_md:n19789	a-s---nv-
βέλτιον	be/ltion	βελτίων	belti/wn	urn:cite2:hmt:lsj.chicago_md:n19789	a-s---na-
βέλτιστοι	be/ltistoi	βέλτιστος	be/ltistos	urn:cite2:hmt:lsj.chicago_md:n19788	a-p---mn-
βέλτιστοι	be/ltistoi	βέλτιστος	be/ltistos	urn:cite2:hmt:lsj.chicago_md:n19788	a-p---mv-
βέλτιστον	be/ltiston	βέλτιστος	be/ltistos	urn:cite2:hmt:lsj.chicago_md:n19788	a-s---ma-
βέλτιστον	be/ltiston	βέλτιστος	be/ltistos	urn:cite2:hmt:lsj.chicago_md:n19788	a-s---nn-
βέλτιστον	be/ltiston	βέλτιστος	be/ltistos	urn:cite2:hmt:lsj.chicago_md:n19788	a-s---nv-
βέλτιστον	be/ltiston	βέλτιστος	be/ltistos	urn:cite2:hmt:lsj.chicago_md:n19788	a-s---na-
βήματος	bh/matos	βῆμα	bh=ma	urn:cite2:hmt:lsj.chicago_md:n19841	n-s---ng-
βήματος	bh/matos	βῆμα	bh=ma	urn:cite2:hmt:lsj.chicago_md:n19842	n-s---ng-
βίαια	bi/aia	βίαιος	bi/aios	urn:cite2:hmt:lsj.chicago_md:n19879	a-p---nn-
βίαια	bi/aia	βίαιος	bi/aios	urn:cite2:hmt:lsj.chicago_md:n19879	a-p---nv-
βίαια	bi/aia	βίαιος	bi/aios	urn:cite2:hmt:lsj.chicago_md:n19879	a-p---na-
βίαια	bi/aia	βίαιος	bi/aios	urn:cite2:hmt:lsj.chicago_md:n19879	n-p---nn-
βίαια	bi/aia	βίαιος	bi/aios	urn:cite2:hmt:lsj.chicago_md:n19879	n-p---nv-
βίαια	bi/aia	βίαιος	bi/aios	urn:cite2:hmt:lsj.chicago_md:n19879	n-p---na-
βίοις	bi/ois	βίος	bi/os	urn:cite2:hmt:lsj.chicago_md:n19972	n-p---md-
βίον	bi/on	βίος	bi/os	urn:cite2:hmt:lsj.chicago_md:n19972	n-s---ma-
βίον	bi/on	βιόω	bio/w	urn:cite2:hmt:lsj.chicago_md:n19992	v3paia---
βίος	bi/os	βίος	bi/os	urn:cite2:hmt:lsj.chicago_md:n19972	n-s---mn-
βίους	bi/ous	βίος	bi/os	urn:cite2:hmt:lsj.chicago_md:n19972	n-p---ma-
βίους	bi/ous	βιόω	bio/w	urn:cite2:hmt:lsj.chicago_md:n19992	v2siia---
βίων	bi/wn	βίος	bi/os	urn:cite2:hmt:lsj.chicago_md:n19972	n-p---mg-
βίων	bi/wn	βιάω	bia/w	urn:cite2:hmt:lsj.chicago_md:n19891	v3piia---
βίων	bi/wn	βιάω	bia/w	urn:cite2:hmt:lsj.chicago_md:n19891	v1siia---
βίων	bi/wn	βιόω	bio/w	urn:cite2:hmt:lsj.chicago_md:n19992	v3paia---
βίων	bi/wn	βιόω	bio/w	urn:cite2:hmt:lsj.chicago_md:n19992	v1saia---
βίῳ	bi/w|	βίος	bi/os	urn:cite2:hmt:lsj.chicago_md:n19972	n-s---md-
βῆμα	bh=ma	βῆμα	bh=ma	urn:cite2:hmt:lsj.chicago_md:n19841	n-s---nn-
βῆμα	bh=ma	βῆμα	bh=ma	urn:cite2:hmt:lsj.chicago_md:n19842	n-s---nn-
βῆμα	bh=ma	βῆμα	bh=ma	urn:cite2:hmt:lsj.chicago_md:n19841	n-s---nv-
βῆμα	bh=ma	βῆμα	bh=ma	urn:cite2:hmt:lsj.chicago_md:n19842	n-s---nv-
βῆμα	bh=ma	βῆμα	bh=ma	urn:cite2:hmt:lsj.chicago_md:n19841	n-s---na-
βῆμα	bh=ma	βῆμα	bh=ma	urn:cite2:hmt:lsj.chicago_md:n19842	n-s---na-
γαμοῦντος	gamou=ntos	γαμέω	game/w	urn:cite2:hmt:lsj.chicago_md:n21556	v-sfpamg-
γαμοῦντος	gamou=ntos	γαμέω	game/w	urn:cite2:hmt:lsj.chicago_md:n21556	v-sfpang-
γαμοῦντος	gamou=ntos	γαμέω	game/w	urn:cite2:hmt:lsj.chicago_md:n21556	v-sppamg-
γαμοῦντος	gamou=ntos	γαμέω	game/w	urn:cite2:hmt:lsj.chicago_md:n21556	v-sppang-
γαστροειδής	gastroeidh/s	γαστροειδής	gastroeidh/s	urn:cite2:hmt:lsj.chicago_md:n21668	n-s---mn-
γαστροειδής	gastroeidh/s	γαστροειδής	gastroeidh/s	urn:cite2:hmt:lsj.chicago_md:n21668	n-s---fn-
γε	ge	γε	ge	urn:cite2:hmt:lsj.chicago_md:n21705	g--------
γεγενημένους	gegenhme/nous	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-prpema-
γεγονέναι	gegone/nai	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v--rna---
γεγονότα	gegono/ta	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-prpann-
γεγονότα	gegono/ta	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-prpanv-
γεγονότα	gegono/ta	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-prpana-
γεγονότα	gegono/ta	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-srpama-
γεγονότας	gegono/tas	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-prpama-
γεγονότες	gegono/tes	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-prpamn-
γεγονότες	gegono/tes	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-prpamv-
γεγονότων	gegono/twn	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-prpamg-
γεγονότων	gegono/twn	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-prpang-
γεγραμμένον	gegramme/non	γράφω	gra/fw	urn:cite2:hmt:lsj.chicago_md:n22825	v-srpema-
γεγραμμένον	gegramme/non	γράφω	gra/fw	urn:cite2:hmt:lsj.chicago_md:n22825	v-srpenn-
γεγραμμένον	gegramme/non	γράφω	gra/fw	urn:cite2:hmt:lsj.chicago_md:n22825	v-srpenv-
γεγραμμένον	gegramme/non	γράφω	gra/fw	urn:cite2:hmt:lsj.chicago_md:n22825	v-srpena-
γειτνιάσεσι	geitnia/sesi	γειτνίασις	geitni/asis	urn:cite2:hmt:lsj.chicago_md:n21753	n-p---fd-
γενναίως	gennai/ws	γενναῖος	gennai=os	urn:cite2:hmt:lsj.chicago_md:n21899	x--------
γενναίως	gennai/ws	γενναῖος	gennai=os	urn:cite2:hmt:lsj.chicago_md:n21899	a-p---ma-
γενναίως	gennai/ws	γενναῖος	gennai=os	urn:cite2:hmt:lsj.chicago_md:n21899	x--------
γενναίως	gennai/ws	γενναῖος	gennai=os	urn:cite2:hmt:lsj.chicago_md:n21899	n-p---ma-
γενναίως	gennai/ws	γενναῖος	gennai=os	urn:cite2:hmt:lsj.chicago_md:n21899	n-p---fa-
γενομένη	genome/nh	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-sapmfn-
γενομένη	genome/nh	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-sapmfv-
γενομένην	genome/nhn	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-sapmfa-
γενομένης	genome/nhs	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-sapmfg-
γενομένοις	genome/nois	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-papmmd-
γενομένοις	genome/nois	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-papmnd-
γενομένου	genome/nou	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-sapmmg-
γενομένου	genome/nou	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-sapmng-
γενομένους	genome/nous	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-papmma-
γενομένων	genome/nwn	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-papmfg-
γενομένων	genome/nwn	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-papmmg-
γενομένων	genome/nwn	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-papmng-
γενέσθαι	gene/sqai	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v--anm---
γενόμενα	geno/mena	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-papmnn-
γενόμενα	geno/mena	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-papmnv-
γενόμενα	geno/mena	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-papmna-
γενόμενον	geno/menon	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-sapmma-
γενόμενον	geno/menon	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-sapmnn-
γενόμενον	geno/menon	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-sapmnv-
γενόμενον	geno/menon	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-sapmna-
γενόμενος	geno/menos	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-sapmmn-
γηραιόν	ghraio/n	γηραιός	ghraio/s	urn:cite2:hmt:lsj.chicago_md:n22132	a-s---ma-
γηραιόν	ghraio/n	γηραιός	ghraio/s	urn:cite2:hmt:lsj.chicago_md:n22132	a-s---nn-
γηραιόν	ghraio/n	γηραιός	ghraio/s	urn:cite2:hmt:lsj.chicago_md:n22132	a-s---nv-
γηραιόν	ghraio/n	γηραιός	ghraio/s	urn:cite2:hmt:lsj.chicago_md:n22132	a-s---na-
γιγνόμενα	gigno/mena	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-pppenn-
γιγνόμενα	gigno/mena	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-pppenv-
γιγνόμενα	gigno/mena	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-pppena-
γιγνόμενος	gigno/menos	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-sppemn-
γινομένων	ginome/nwn	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-pppefg-
γινομένων	ginome/nwn	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-pppemg-
γινομένων	ginome/nwn	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-pppeng-
γινόμενον	gino/menon	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-sppema-
γινόμενον	gino/menon	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-sppenn-
γινόμενον	gino/menon	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-sppenv-
γινόμενον	gino/menon	γίγνομαι	gi/gnomai	urn:cite2:hmt:lsj.chicago_md:n22209	v-sppena-
γινώσκοντες	ginw/skontes	γιγνώσκω	gignw/skw	urn:cite2:hmt:lsj.chicago_md:n22210	v-pppamn-
γινώσκοντες	ginw/skontes	γιγνώσκω	gignw/skw	urn:cite2:hmt:lsj.chicago_md:n22210	v-pppamv-
γλαῦκας	glau=kas	γλαύξ	glau/c	urn:cite2:hmt:lsj.chicago_md:n22275	n-p---fa-
γλίσχρα	gli/sxra	γλίσχρος	gli/sxros	urn:cite2:hmt:lsj.chicago_md:n22316	a-p---nn-
γλίσχρα	gli/sxra	γλίσχρος	gli/sxros	urn:cite2:hmt:lsj.chicago_md:n22316	a-p---nv-
γλίσχρα	gli/sxra	γλίσχρος	gli/sxros	urn:cite2:hmt:lsj.chicago_md:n22316	a-p---na-
γλίσχρα	gli/sxra	γλίσχρος	gli/sxros	urn:cite2:hmt:lsj.chicago_md:n22316	a-d---fn-
γλίσχρα	gli/sxra	γλίσχρος	gli/sxros	urn:cite2:hmt:lsj.chicago_md:n22316	a-d---fv-
γλίσχρα	gli/sxra	γλίσχρος	gli/sxros	urn:cite2:hmt:lsj.chicago_md:n22316	a-d---fa-
γλίσχρα	gli/sxra	γλίσχρος	gli/sxros	urn:cite2:hmt:lsj.chicago_md:n22316	a-s---fn-
γλίσχρα	gli/sxra	γλίσχρος	gli/sxros	urn:cite2:hmt:lsj.chicago_md:n22316	a-s---fv-
γλώσσῃ	glw/ssh|	γλῶσσα	glw=ssa	urn:cite2:hmt:lsj.chicago_md:n22425	n-s---fd-
γλώσσῃ	glw/ssh|	γλῶσσα	glw=ssa	urn:cite2:hmt:lsj.chicago_md:n22425	n-s---fd-
γλῶτταν	glw=ttan	γλῶσσα	glw=ssa	urn:cite2:hmt:lsj.chicago_md:n22425	n-s---fa-
γνησίους	gnhsi/ous	γνήσιος	gnh/sios	urn:cite2:hmt:lsj.chicago_md:n22483	a-p---ma-
γνησίων	gnhsi/wn	γνήσιος	gnh/sios	urn:cite2:hmt:lsj.chicago_md:n22483	a-p---fg-
γνησίων	gnhsi/wn	γνήσιος	gnh/sios	urn:cite2:hmt:lsj.chicago_md:n22483	a-p---mg-
γνησίων	gnhsi/wn	γνήσιος	gnh/sios	urn:cite2:hmt:lsj.chicago_md:n22483	a-p---ng-
γνωμόνων	gnwmo/nwn	γνώμων	gnw/mwn	urn:cite2:hmt:lsj.chicago_md:n22521	n-p---mg-
γνωρίμων	gnwri/mwn	γνώριμος	gnw/rimos	urn:cite2:hmt:lsj.chicago_md:n22523	a-p---fg-
γνωρίμων	gnwri/mwn	γνώριμος	gnw/rimos	urn:cite2:hmt:lsj.chicago_md:n22523	a-p---mg-
γνωρίμων	gnwri/mwn	γνώριμος	gnw/rimos	urn:cite2:hmt:lsj.chicago_md:n22523	a-p---ng-
γνωρίμων	gnwri/mwn	γνώριμος	gnw/rimos	urn:cite2:hmt:lsj.chicago_md:n22523	n-p---mg-
γνωρίμων	gnwri/mwn	γνώριμος	gnw/rimos	urn:cite2:hmt:lsj.chicago_md:n22523	n-p---fg-
γνωρίμων	gnwri/mwn	γνώριμος	gnw/rimos	urn:cite2:hmt:lsj.chicago_md:n22523	n-p---ng-
γνώμην	gnw/mhn	γνώμη	gnw/mh	urn:cite2:hmt:lsj.chicago_md:n22502	n-s---fa-
γνώμης	gnw/mhs	γνώμη	gnw/mh	urn:cite2:hmt:lsj.chicago_md:n22502	n-s---fg-
γνώμῃ	gnw/mh|	γνώμη	gnw/mh	urn:cite2:hmt:lsj.chicago_md:n22502	n-s---fd-
γνώσει	gnw/sei	γιγνώσκω	gignw/skw	urn:cite2:hmt:lsj.chicago_md:n22210	v2sfim---
γνώσει	gnw/sei	γνῶσις	gnw=sis	urn:cite2:hmt:lsj.chicago_md:n22535	n-d---fn-
γνώσει	gnw/sei	γνῶσις	gnw=sis	urn:cite2:hmt:lsj.chicago_md:n22535	n-d---fv-
γνώσει	gnw/sei	γνῶσις	gnw=sis	urn:cite2:hmt:lsj.chicago_md:n22535	n-d---fa-
γνώσει	gnw/sei	γνῶσις	gnw=sis	urn:cite2:hmt:lsj.chicago_md:n22535	n-s---fd-
γνώσει	gnw/sei	γνῶσις	gnw=sis	urn:cite2:hmt:lsj.chicago_md:n22535	n-s---fd-
γνῶναι	gnw=nai	γιγνώσκω	gignw/skw	urn:cite2:hmt:lsj.chicago_md:n22210	v--ana---
γοῦν	gou=n	γοῦν	gou=n	urn:cite2:hmt:lsj.chicago_md:n22708	g--------
γραφομένων	grafome/nwn	γράφω	gra/fw	urn:cite2:hmt:lsj.chicago_md:n22825	v-pppefg-
γραφομένων	grafome/nwn	γράφω	gra/fw	urn:cite2:hmt:lsj.chicago_md:n22825	v-pppemg-
γραφομένων	grafome/nwn	γράφω	gra/fw	urn:cite2:hmt:lsj.chicago_md:n22825	v-pppeng-
γραφήν	grafh/n	γραφή	grafh/	urn:cite2:hmt:lsj.chicago_md:n22814	n-s---fa-
γραφήν	grafh/n	γραφής	grafh/s	urn:cite2:hmt:lsj.chicago_md:n22816	n-s---ma-
γραφῆναι	grafh=nai	γράφω	gra/fw	urn:cite2:hmt:lsj.chicago_md:n22825	v--anp---
γραῦς	grau=s	γραῦς	grau=s	urn:cite2:hmt:lsj.chicago_md:n22810	n-p---fa-
γραῦς	grau=s	γραῦς	grau=s	urn:cite2:hmt:lsj.chicago_md:n22810	n-s---fn-
γράμματος	gra/mmatos	γράμμα	gra/mma	urn:cite2:hmt:lsj.chicago_md:n22739	n-s---ng-
γράφει	gra/fei	γράφος	gra/fos	urn:cite2:hmt:lsj.chicago_md:n22824	n-d---nn-
γράφει	gra/fei	γράφος	gra/fos	urn:cite2:hmt:lsj.chicago_md:n22824	n-d---nv-
γράφει	gra/fei	γράφος	gra/fos	urn:cite2:hmt:lsj.chicago_md:n22824	n-d---na-
γράφει	gra/fei	γράφος	gra/fos	urn:cite2:hmt:lsj.chicago_md:n22824	n-s---nd-
γράφει	gra/fei	γράφος	gra/fos	urn:cite2:hmt:lsj.chicago_md:n22824	n-s---nd-
γράφει	gra/fei	γράφω	gra/fw	urn:cite2:hmt:lsj.chicago_md:n22825	v2spie---
γράφει	gra/fei	γράφω	gra/fw	urn:cite2:hmt:lsj.chicago_md:n22825	v3spia---
γράφουσιν	gra/fousin	γράφω	gra/fw	urn:cite2:hmt:lsj.chicago_md:n22825	v-pppamd-
γράφουσιν	gra/fousin	γράφω	gra/fw	urn:cite2:hmt:lsj.chicago_md:n22825	v-pppand-
γράφουσιν	gra/fousin	γράφω	gra/fw	urn:cite2:hmt:lsj.chicago_md:n22825	v3ppia---
γράψαντος	gra/yantos	γράφω	gra/fw	urn:cite2:hmt:lsj.chicago_md:n22825	v-sapamg-
γράψαντος	gra/yantos	γράφω	gra/fw	urn:cite2:hmt:lsj.chicago_md:n22825	v-sapang-
γράψας	gra/yas	γράφω	gra/fw	urn:cite2:hmt:lsj.chicago_md:n22825	v-sapamn-
γράψας	gra/yas	γράφω	gra/fw	urn:cite2:hmt:lsj.chicago_md:n22825	v-sapamv-
γράψας	gra/yas	γράφω	gra/fw	urn:cite2:hmt:lsj.chicago_md:n22825	v2saia---
γυναικί	gunaiki/	γυνή	gunh/	urn:cite2:hmt:lsj.chicago_md:n23069	n-s---fd-
