Αἰνείας	*ai)nei/as	Αἰνείας	*ai)nei/as	urn:cite2:hmt:lsj.chicago_md:n2507	n-s---mn-
Βῆ	*bh=	βαίνω	bai/nw	urn:cite2:hmt:lsj.chicago_md:n19123	v3saia---
Διός	*dio/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mg-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mn-
Ζηνός	*zhno/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mg-
Θέμις	*qe/mis	Θέμις	*qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-p---fa-
Θέμις	*qe/mis	Θέμις	*qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fn-
Θέμις	*qe/mis	Θέμις	*qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fn-
Θέμις	*qe/mis	Θέμις	*qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fn-
Θέμις	*qe/mis	θέμις	qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-p---fa-
Θέμις	*qe/mis	θέμις	qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fn-
Θέμις	*qe/mis	θέμις	qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fn-
Θέμις	*qe/mis	θέμις	qe/mis	urn:cite2:hmt:lsj.chicago_md:n48121	n-s---fn-
Κρονίωνα	*kroni/wna	Κρονίων	*kroni/wn	urn:cite2:hmt:lsj.chicago_md:n60127	n-s---ma-
Κρόνος	*kro/nos	Κρόνος	*kro/nos	urn:cite2:hmt:lsj.chicago_md:n60131	n-s---mn-
Κρόνος	*kro/nos	Κρόνος	*kro/nos	urn:cite2:hmt:lsj.chicago_md:n60132	n-s---mn-
Κρόνος	*kro/nos	κρόνος	kro/nos	urn:cite2:hmt:lsj.chicago_md:n60131	n-s---mn-
Κρόνος	*kro/nos	κρόνος	kro/nos	urn:cite2:hmt:lsj.chicago_md:n60132	n-s---mn-
Κυθερείης	*kuqerei/hs	Κυθέρεια	*kuqe/reia	urn:cite2:hmt:lsj.chicago_md:n60574	n-s---fg-
Κυθερείῃ	*kuqerei/h|	Κυθέρεια	*kuqe/reia	urn:cite2:hmt:lsj.chicago_md:n60574	n-s---fd-
Κύπριδος	*ku/pridos	Κύπρις	*ku/pris	urn:cite2:hmt:lsj.chicago_md:n61013	n-s---fg-
Κύπροιο	*ku/proio	Κύπρος	*ku/pros	urn:cite2:hmt:lsj.chicago_md:n61016	n-s---fg-
Κύπροιο	*ku/proio	Κύπρος	*ku/pros	urn:cite2:hmt:lsj.chicago_md:n61017	n-s---fg-
Κύπροιο	*ku/proio	κύπρος	ku/pros	urn:cite2:hmt:lsj.chicago_md:n61016	n-s---fg-
Κύπροιο	*ku/proio	κύπρος	ku/pros	urn:cite2:hmt:lsj.chicago_md:n61017	n-s---fg-
Κύπρον	*ku/pron	Κύπρος	*ku/pros	urn:cite2:hmt:lsj.chicago_md:n61016	n-s---fa-
Κύπρον	*ku/pron	Κύπρος	*ku/pros	urn:cite2:hmt:lsj.chicago_md:n61017	n-s---fa-
Κύπρον	*ku/pron	κύπρος	ku/pros	urn:cite2:hmt:lsj.chicago_md:n61016	n-s---fa-
Κύπρον	*ku/pron	κύπρος	ku/pros	urn:cite2:hmt:lsj.chicago_md:n61017	n-s---fa-
Λητώ	*lhtw/	Λητώ	*lhtw/	urn:cite2:hmt:lsj.chicago_md:n63003	n-s---fn-
Νυμφάων	*numfa/wn	νύμφη	nu/mfh	urn:cite2:hmt:lsj.chicago_md:n71282	n-p---fg-
Νυμφῶν	*numfw=n	νύμφη	nu/mfh	urn:cite2:hmt:lsj.chicago_md:n71282	n-p---fg-
Νύμφαι	*nu/mfai	νύμφη	nu/mfh	urn:cite2:hmt:lsj.chicago_md:n71282	n-p---fn-
Νύμφαι	*nu/mfai	νύμφη	nu/mfh	urn:cite2:hmt:lsj.chicago_md:n71282	n-p---fv-
Νύμφαι	*nu/mfai	νύμφη	nu/mfh	urn:cite2:hmt:lsj.chicago_md:n71282	n-s---fd-
Νύμφης	*nu/mfhs	νύμφη	nu/mfh	urn:cite2:hmt:lsj.chicago_md:n71282	n-s---fg-
Ποσειδάων	*poseida/wn	Ποσειδῶν	*poseidw=n	urn:cite2:hmt:lsj.chicago_md:n85893	n-s---mn-
Ποσειδάων	*poseida/wn	Ποσειδῶν	*poseidw=n	urn:cite2:hmt:lsj.chicago_md:n85893	n-s---mv-
Πάφον	*pa/fon	Πάφος	*pa/fos	urn:cite2:hmt:lsj.chicago_md:n80144	n-s---fa-
Τιθωνόν	*tiqwno/n	Τιθωνός	*tiqwno/s	urn:cite2:hmt:lsj.chicago_md:n103940	n-s---ma-
Τροίης	*troi/hs	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105483	n-s---fg-
Τροίης	*troi/hs	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105484	n-s---fg-
Τροίης	*troi/hs	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105483	n-s---fg-
Τροίης	*troi/hs	Τροία	*troi/a	urn:cite2:hmt:lsj.chicago_md:n105484	n-s---fg-
Τροίης	*troi/hs	τρέω	tre/w	urn:cite2:hmt:lsj.chicago_md:n104698	v2spoa---
Τρώεσσιν	*trw/essin	Τρώς	*trw/s	urn:cite2:hmt:lsj.chicago_md:n105816	n-p---md-
Τρῳάς	*trw|a/s	Τρωιός	*trwio/s	urn:cite2:hmt:lsj.chicago_md:n105796	a-p---fa-
Τρῳάς	*trw|a/s	Τρωιός	*trwio/s	urn:cite2:hmt:lsj.chicago_md:n105796	a-p---fa-
Τρῳάς	*trw|a/s	Τρῳάς	*trw|a/s	urn:cite2:hmt:lsj.chicago_md:n105774	n-s---fn-
Τρῶα	*trw=a	Τρώς	*trw/s	urn:cite2:hmt:lsj.chicago_md:n105816	n-s---ma-
Φρυγίης	*frugi/hs	Φρύγιος	*fru/gios	urn:cite2:hmt:lsj.chicago_md:n112424	a-s---fg-
Φρυγίης	*frugi/hs	Φρύγιος	*fru/gios	urn:cite2:hmt:lsj.chicago_md:n112425	a-s---fg-
Φρυγίης	*frugi/hs	Φρυγία	*frugi/a	urn:cite2:hmt:lsj.chicago_md:n112417	n-s---fg-
Φρυγίης	*frugi/hs	φρύγιος	fru/gios	urn:cite2:hmt:lsj.chicago_md:n112425	a-s---fg-
Φρυγίης	*frugi/hs	φρυγία	frugi/a	urn:cite2:hmt:lsj.chicago_md:n112417	n-s---fg-
Φρύγας	*fru/gas	Φρύξ	*fru/c	urn:cite2:hmt:lsj.chicago_md:n112443	n-p---ma-
Φρύγας	*fru/gas	Φρύξ	*fru/c	urn:cite2:hmt:lsj.chicago_md:n112444	n-p---ma-
Φρύγας	*fru/gas	Φρύξ	*fru/c	urn:cite2:hmt:lsj.chicago_md:n112443	n-p---fa-
Φρύγας	*fru/gas	Φρύξ	*fru/c	urn:cite2:hmt:lsj.chicago_md:n112444	n-p---fa-
Χαρίτων	*xari/twn	Χάρις	*xa/ris	urn:cite2:hmt:lsj.chicago_md:n113388	n-p---fg-
Χαρίτων	*xari/twn	χάρις	xa/ris	urn:cite2:hmt:lsj.chicago_md:n113388	n-p---fg-
Χαρίτων	*xari/twn	χάριτος	xa/ritos	urn:cite2:hmt:lsj.chicago_md:n113411	a-p---fg-
Χαρίτων	*xari/twn	χάριτος	xa/ritos	urn:cite2:hmt:lsj.chicago_md:n113411	a-p---mg-
Χαρίτων	*xari/twn	χάριτος	xa/ritos	urn:cite2:hmt:lsj.chicago_md:n113411	a-p---ng-
Χαρίτων	*xari/twn	χαριτόω	xarito/w	urn:cite2:hmt:lsj.chicago_md:n113413	v3piia---
Χαρίτων	*xari/twn	χαριτόω	xarito/w	urn:cite2:hmt:lsj.chicago_md:n113413	v1siia---
Χάριτες	*xa/rites	Χάρις	*xa/ris	urn:cite2:hmt:lsj.chicago_md:n113388	n-p---fn-
Χάριτες	*xa/rites	Χάρις	*xa/ris	urn:cite2:hmt:lsj.chicago_md:n113388	n-p---fv-
Χάριτες	*xa/rites	χάρις	xa/ris	urn:cite2:hmt:lsj.chicago_md:n113388	n-p---fn-
Χάριτες	*xa/rites	χάρις	xa/ris	urn:cite2:hmt:lsj.chicago_md:n113388	n-p---fv-
αἰγιόχοιο	ai)gio/xoio	αἰγίοχος	ai)gi/oxos	urn:cite2:hmt:lsj.chicago_md:n2170	n-s---mg-
αἰγιόχοιο	ai)gio/xoio	αἰγίοχος	ai)gi/oxos	urn:cite2:hmt:lsj.chicago_md:n2170	n-s---fg-
αἰγιόχοιο	ai)gio/xoio	αἰγίοχος	ai)gi/oxos	urn:cite2:hmt:lsj.chicago_md:n2170	n-s---ng-
αἰδοίην	ai)doi/hn	αἰδοῖος	ai)doi=os	urn:cite2:hmt:lsj.chicago_md:n2254	a-s---fa-
αἰδοίῃ	ai)doi/h|	αἰδοῖος	ai)doi=os	urn:cite2:hmt:lsj.chicago_md:n2254	a-s---fd-
αἰεί	ai)ei/	ἀεί	a)ei/	urn:cite2:hmt:lsj.chicago_md:n1564	d--------
αἰνόν	ai)no/n	αἰνός	ai)no/s	urn:cite2:hmt:lsj.chicago_md:n2565	a-s---ma-
αἰνόν	ai)no/n	αἰνός	ai)no/s	urn:cite2:hmt:lsj.chicago_md:n2565	a-s---nn-
αἰνόν	ai)no/n	αἰνός	ai)no/s	urn:cite2:hmt:lsj.chicago_md:n2565	a-s---nv-
αἰνόν	ai)no/n	αἰνός	ai)no/s	urn:cite2:hmt:lsj.chicago_md:n2565	a-s---na-
αἰολοπώλους	ai)olopw/lous	αἰολόπωλος	ai)olo/pwlos	urn:cite2:hmt:lsj.chicago_md:n2608	n-p---ma-
αἰολοπώλους	ai)olopw/lous	αἰολόπωλος	ai)olo/pwlos	urn:cite2:hmt:lsj.chicago_md:n2608	n-p---fa-
αἰτήσουσα	ai)th/sousa	αἰτέω	ai)te/w	urn:cite2:hmt:lsj.chicago_md:n2754	v-sfpafn-
αἰτήσουσα	ai)th/sousa	αἰτέω	ai)te/w	urn:cite2:hmt:lsj.chicago_md:n2754	v-sfpafv-
