frequency	form	turns
177	,	urn:cts:greekLit:tlg0013.tlg005.fucex:1.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:2.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:4.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:8.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:9.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:16.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:18.token.10,urn:cts:greekLit:tlg0013.tlg005.fucex:21.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:22.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:22.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:23.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:23.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:24.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:25.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:26.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:26.token.10,urn:cts:greekLit:tlg0013.tlg005.fucex:27.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:28.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:36.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:38.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:38.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:39.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:40.token.3,urn:cts:greekLit:tlg0013.tlg005.fucex:40.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:46.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:47.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:49.token.3,urn:cts:greekLit:tlg0013.tlg005.fucex:49.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:50.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:51.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:53.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:57.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:58.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:62.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:62.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:63.token.3,urn:cts:greekLit:tlg0013.tlg005.fucex:66.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:68.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:68.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:70.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:77.token.3,urn:cts:greekLit:tlg0013.tlg005.fucex:82.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:86.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:89.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:89.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:90.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:91.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:92.token.3,urn:cts:greekLit:tlg0013.tlg005.fucex:92.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:92.token.12,urn:cts:greekLit:tlg0013.tlg005.fucex:94.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:95.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:96.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:97.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:98.token.3,urn:cts:greekLit:tlg0013.tlg005.fucex:99.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:100.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:100.token.10,urn:cts:greekLit:tlg0013.tlg005.fucex:101.token.3,urn:cts:greekLit:tlg0013.tlg005.fucex:103.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:104.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:105.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:106.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:108.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:108.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:110.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:111.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:111.token.10,urn:cts:greekLit:tlg0013.tlg005.fucex:115.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:118.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:120.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:122.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:123.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:127.token.3,urn:cts:greekLit:tlg0013.tlg005.fucex:128.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:130.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:135.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:136.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:141.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:145.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:145.token.13,urn:cts:greekLit:tlg0013.tlg005.fucex:146.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:146.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:148.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:150.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:153.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:153.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:157.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:159.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:161.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:162.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:167.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:171.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:173.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:175.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:175.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:177.token.3,urn:cts:greekLit:tlg0013.tlg005.fucex:178.token.3,urn:cts:greekLit:tlg0013.tlg005.fucex:178.token.10,urn:cts:greekLit:tlg0013.tlg005.fucex:181.token.10,urn:cts:greekLit:tlg0013.tlg005.fucex:185.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:185.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:185.token.12,urn:cts:greekLit:tlg0013.tlg005.fucex:187.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:189.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:190.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:192.token.3,urn:cts:greekLit:tlg0013.tlg005.fucex:192.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:193.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:194.token.11,urn:cts:greekLit:tlg0013.tlg005.fucex:196.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:198.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:199.token.3,urn:cts:greekLit:tlg0013.tlg005.fucex:203.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:204.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:205.token.3,urn:cts:greekLit:tlg0013.tlg005.fucex:205.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:207.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:207.token.11,urn:cts:greekLit:tlg0013.tlg005.fucex:210.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:210.token.11,urn:cts:greekLit:tlg0013.tlg005.fucex:211.token.3,urn:cts:greekLit:tlg0013.tlg005.fucex:213.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:215.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:216.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:216.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:218.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:219.token.3,urn:cts:greekLit:tlg0013.tlg005.fucex:220.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:223.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:225.token.10,urn:cts:greekLit:tlg0013.tlg005.fucex:226.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:229.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:230.token.10,urn:cts:greekLit:tlg0013.tlg005.fucex:231.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:233.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:234.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:236.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:237.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:238.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:242.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:245.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:245.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:246.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:246.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:248.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:249.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:250.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:253.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:253.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:254.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:254.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:254.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:256.token.3,urn:cts:greekLit:tlg0013.tlg005.fucex:256.token.10,urn:cts:greekLit:tlg0013.tlg005.fucex:257.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:265.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:266.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:266.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:267.token.3,urn:cts:greekLit:tlg0013.tlg005.fucex:269.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:270.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:271.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:271.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:274.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:276.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:276.token.12,urn:cts:greekLit:tlg0013.tlg005.fucex:278.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:281.token.10,urn:cts:greekLit:tlg0013.tlg005.fucex:282.token.10,urn:cts:greekLit:tlg0013.tlg005.fucex:283.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:284.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:287.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:289.token.10,urn:cts:greekLit:tlg0013.tlg005.fucex:290.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:292.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:292.token.4
109	δέ	urn:cts:greekLit:tlg0013.tlg005.fucex:6.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:7.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:14.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:23.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:25.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:26.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:29.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:31.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:34.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:42.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:43.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:45.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:53.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:57.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:58.token.3,urn:cts:greekLit:tlg0013.tlg005.fucex:59.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:61.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:64.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:68.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:69.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:69.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:72.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:73.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:75.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:76.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:78.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:79.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:81.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:84.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:89.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:87.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:88.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:91.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:91.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:100.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:101.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:102.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:104.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:107.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:110.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:111.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:113.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:114.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:117.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:119.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:120.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:122.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:123.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:126.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:127.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:130.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:137.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:139.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:140.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:141.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:144.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:145.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:146.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:147.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:148.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:155.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:161.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:164.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:166.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:168.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:171.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:172.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:174.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:180.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:181.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:183.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:186.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:191.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:196.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:198.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:200.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:207.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:210.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:212.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:216.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:217.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:218.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:220.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:222.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:225.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:230.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:231.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:235.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:236.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:237.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:244.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:252.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:254.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:255.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:262.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:264.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:267.token.5,urn:cts:greekLit:tlg0013.tlg005.fucex:268.token.4,urn:cts:greekLit:tlg0013.tlg005.fucex:271.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:271.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:272.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:276.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:280.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:281.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:283.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:286.token.2,urn:cts:greekLit:tlg0013.tlg005.fucex:289.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:290.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:293.token.2
81	.	urn:cts:greekLit:tlg0013.tlg005.fucex:6.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:11.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:13.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:15.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:17.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:20.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:28.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:30.token.10,urn:cts:greekLit:tlg0013.tlg005.fucex:32.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:35.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:37.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:41.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:44.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:52.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:55.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:57.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:59.token.11,urn:cts:greekLit:tlg0013.tlg005.fucex:63.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:67.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:77.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:80.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:83.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:85.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:88.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:99.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:102.token.3,urn:cts:greekLit:tlg0013.tlg005.fucex:106.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:110.token.10,urn:cts:greekLit:tlg0013.tlg005.fucex:112.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:113.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:115.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:116.token.10,urn:cts:greekLit:tlg0013.tlg005.fucex:118.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:120.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:127.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:130.token.11,urn:cts:greekLit:tlg0013.tlg005.fucex:135.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:136.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:140.token.10,urn:cts:greekLit:tlg0013.tlg005.fucex:142.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:143.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:152.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:154.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:160.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:163.token.10,urn:cts:greekLit:tlg0013.tlg005.fucex:167.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:171.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:180.token.11,urn:cts:greekLit:tlg0013.tlg005.fucex:186.token.11,urn:cts:greekLit:tlg0013.tlg005.fucex:190.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:195.token.10,urn:cts:greekLit:tlg0013.tlg005.fucex:201.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:206.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:211.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:214.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:217.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:219.token.6,urn:cts:greekLit:tlg0013.tlg005.fucex:222.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:224.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:232.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:236.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:238.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:240.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:243.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:246.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:251.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:255.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:259.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:261.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:263.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:266.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:272.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:273.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:275.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:277.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:280.token.8,urn:cts:greekLit:tlg0013.tlg005.fucex:285.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:288.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:290.token.9,urn:cts:greekLit:tlg0013.tlg005.fucex:291.token.7,urn:cts:greekLit:tlg0013.tlg005.fucex:293.token.9
