token_urn	surface_form	normalized_form	reason
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.41.token25	Ἐλισάβετ	Ἐλισάβετ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.42.token8	Εὐλογημένη	Εὐλογημένη	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.42.token14	εὐλογημένος	εὐλογημένος	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.44.token16	ʹἐν	ʹἐν	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.44.token19	βρέφοσʹ	βρέφοσʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.46.token3	Μαριάμ	Μαριάμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.50.token7	ʹκαὶ	ʹκαί	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.50.token8	γενεὰσʹ	γενεάσʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.53.token2	ἐνέπλησεν	ἐνέπλησεν	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.54.token2	Ἰσραὴλ	Ἰσραήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.55.token9	Ἀβραὰμ	Ἀβραάμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.56.token3	Μαριὰμ	Μαριάμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.57.token3	Ἐλισάβετ	Ἐλισάβετ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.59.token5	ʹἡμέρᾳ	ʹἡμέρᾳ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.59.token7	ὀγδόῃʹ	ὀγδόῃʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.59.token22	Ζαχαρίαν	Ζαχαρίαν	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.60.token12	Ἰωάννης	Ἰωάννης	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.61.token8	ʹἐκ	ʹἐκ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.61.token10	συγγενείασʹ	συγγενείασʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.63.token7	Ἰωάννης	Ἰωάννης	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.67.token2	Ζαχαρίας	Ζαχαρίας	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.68.token6	Ἰσραήλ	Ἰσραήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.69.token8	Δαυὶδ	Δαυίδ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.73.token5	Ἀβραὰμ	Ἀβραάμ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.75.token7	ʹπάσαις	ʹπάσαις	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.75.token9	ἡμέραισʹ	ἡμέραισʹ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:1.80.token20	Ἰσραήλ	Ἰσραήλ	no_match_in_morph_dict
urn:cts:greekLit:tlg0031.tlg003.wh.tok:2.2.token9	Κυρηνίου	Κυρηνίου	no_match_in_morph_dict
