urn:cts:greekLit:tlg0031.tlg003.wh:1.10.token.8	urn:cite2:fufolio:greekmorph.2026a:20260615T0233056042
urn:cts:greekLit:tlg0031.tlg003.wh:1.10.token.8	urn:cite2:fufolio:greekmorph.2026a:20260615T0233056043
urn:cts:greekLit:tlg0031.tlg003.wh:1.10.token.8	urn:cite2:fufolio:greekmorph.2026a:20260615T0233056044
urn:cts:greekLit:tlg0031.tlg003.wh:1.10.token.8	urn:cite2:fufolio:greekmorph.2026a:20260615T0233056045
urn:cts:greekLit:tlg0031.tlg003.wh:1.10.token.9	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409008
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T03125311420
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.10	urn:cite2:fufolio:greekmorph.2026a:20260615T0233052822
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.10	urn:cite2:fufolio:greekmorph.2026a:20260615T0233052823
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.10	urn:cite2:fufolio:greekmorph.2026a:20260615T0233052824
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.11	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406078
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.11	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406079
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.11	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406080
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.11	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406081
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.11	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430072
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.11	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431973
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.12	urn:cite2:fufolio:greekmorph.2026a:20260614T1748033635
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312401357
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430014
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430254
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431461
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.3	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400386
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.3	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400387
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.3	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431879
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.4	urn:cite2:fufolio:greekmorph.2026a:20260607T0312423205
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.4	urn:cite2:fufolio:greekmorph.2026a:20260607T0312423206
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.5	urn:cite2:fufolio:greekmorph.2026a:20260613T0302552846
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.5	urn:cite2:fufolio:greekmorph.2026a:20260613T0302552847
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.5	urn:cite2:fufolio:greekmorph.2026a:20260613T0302552848
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.5	urn:cite2:fufolio:greekmorph.2026a:20260613T0302552850
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.5	urn:cite2:fufolio:greekmorph.2026a:20260613T0302552851
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.5	urn:cite2:fufolio:greekmorph.2026a:20260613T0302552852
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.5	urn:cite2:fufolio:greekmorph.2026a:20260613T0302552853
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.6	urn:cite2:fufolio:greekmorph.2026a:20260610T1311509069
urn:cts:greekLit:tlg0031.tlg003.wh:1.11.token.6	urn:cite2:fufolio:greekmorph.2026a:20260610T1311509070
