urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1001.1.speaker.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409518
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1001.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260616T2026439805
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1001.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260616T2026439806
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1001.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010069
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1001.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010070
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1001.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430661
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1001.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430662
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1001.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260607T03124827189
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1001.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T03124447250
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1002.1.speaker.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409518
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1002.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407138
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1002.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312440989
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1002.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260616T2026432093
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1002.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260616T2026432094
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1002.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260616T2026432095
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.speaker.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409518
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312420637
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312420638
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312420639
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407988
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407989
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407990
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407991
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407992
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407993
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407994
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407995
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407996
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407997
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431070
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431071
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431072
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431073
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431210
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431900
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431901
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431902
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431903
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260614T1748039096
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1003.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260616T2026439809
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1004.1.speaker.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409518
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1004.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260610T13221310116
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1004.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260610T13221310117
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1004.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260610T13221310116
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1004.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260610T13221310117
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.speaker.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409518
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260611T1219229960
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260611T1219229961
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260611T1219229962
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260611T1219229963
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03125111644
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03125111645
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260611T1219229960
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260611T1219229961
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260611T1219229962
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260611T1219229963
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312403330
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312403331
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430425
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260608T1833432374
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312485882
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312485883
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312485884
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312485885
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312485886
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token7	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463718
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token7	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463719
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token7	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463720
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token7	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463721
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token7	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463722
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token7	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463723
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token7	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463724
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1005.1.text.token7	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463725
urn:cts:greekLit:tlg0011.tlg001.fu-sp.tok:1006.1.speaker.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409518
