ἕτοιμά	e(/toima/	ἑτοῖμος	e(toi=mos	urn:cite2:hmt:lsj.chicago_md:n43287	n-p---nn-
ἕτοιμά	e(/toima/	ἑτοῖμος	e(toi=mos	urn:cite2:hmt:lsj.chicago_md:n43287	n-p---nv-
ἕτοιμά	e(/toima/	ἑτοῖμος	e(toi=mos	urn:cite2:hmt:lsj.chicago_md:n43287	n-p---na-
ἕψεσθαι	e(/yesqai	ἕπομαι	e(/pomai	urn:cite2:hmt:lsj.chicago_md:n41798	v--fnm---
ἕψεσθαι	e(/yesqai	ἕψω	e(/yw	urn:cite2:hmt:lsj.chicago_md:n46025	v--pne---
Ἐγκέλαδον	*)egke/ladon	Ἐγκέλαδος	*)egke/lados	urn:cite2:hmt:lsj.chicago_md:n30246	n-s---ma-
Ἐγκέλαδον	*)egke/ladon	ἐγκέλαδος	e)gke/lados	urn:cite2:hmt:lsj.chicago_md:n30246	n-s---ma-
Ἑλλάδα	*(ella/da	Ἑλλάς	*(ella/s	urn:cite2:hmt:lsj.chicago_md:n33791	n-s---fa-
Ἑλλάδος	*(ella/dos	Ἑλλάς	*(ella/s	urn:cite2:hmt:lsj.chicago_md:n33791	n-s---fg-
Ἑλλάς	*(ella/s	Ἑλλάς	*(ella/s	urn:cite2:hmt:lsj.chicago_md:n33791	n-s---fn-
Ἑλλάς	*(ella/s	ἑλλά	e(lla/	urn:cite2:hmt:lsj.chicago_md:n33776	n-p---fa-
Ἑλένην	*(ele/nhn	Ἑλένη	*(ele/nh	urn:cite2:hmt:lsj.chicago_md:n33587	n-s---fa-
Ἑλένην	*(ele/nhn	ἑλένη	e(le/nh	urn:cite2:hmt:lsj.chicago_md:n33587	n-s---fa-
Ἑλένης	*(ele/nhs	Ἑλένη	*(ele/nh	urn:cite2:hmt:lsj.chicago_md:n33587	n-s---fg-
Ἑλένης	*(ele/nhs	ἑλένη	e(le/nh	urn:cite2:hmt:lsj.chicago_md:n33587	n-s---fg-
ἠδίκει	h)di/kei	ἀδικέω	a)dike/w	urn:cite2:hmt:lsj.chicago_md:n1377	v3siia---
ἠθάδων	h)qa/dwn	ἠθάς	h)qa/s	urn:cite2:hmt:lsj.chicago_md:n46756	n-p---mg-
ἠθάδων	h)qa/dwn	ἠθάς	h)qa/s	urn:cite2:hmt:lsj.chicago_md:n46756	n-p---fg-
ἠλίθιος	h)li/qios	ἠλίθιος	h)li/qios	urn:cite2:hmt:lsj.chicago_md:n46852	a-s---mn-
ἠμείψατο	h)mei/yato	ἀμείβω	a)mei/bw	urn:cite2:hmt:lsj.chicago_md:n5103	v3saim---
ἠμύστισα	h)mu/stisa	ἀμυστίζω	a)musti/zw	urn:cite2:hmt:lsj.chicago_md:n5626	v1saia---
ἠνθρακωμένος	h)nqrakwme/nos	ἀνθρακόομαι	a)nqrako/omai	urn:cite2:hmt:lsj.chicago_md:n8842	v-srpemn-
