Αἰτναίαν	*ai)tnai/an	Αἰτναῖος	*ai)tnai=os	a-s---fa-
Αἰτναίων	*ai)tnai/wn	Αἰτναῖος	*ai)tnai=os	a-p---fg-
Αἰτναίων	*ai)tnai/wn	Αἰτναῖος	*ai)tnai=os	a-p---mg-
Αἰτναίων	*ai)tnai/wn	Αἰτναῖος	*ai)tnai=os	a-p---ng-
Αἰτναῖε	*ai)tnai=e	Αἰτναῖος	*ai)tnai=os	a-s---mv-
Αἰτναῖον	*ai)tnai=on	Αἰτναῖος	*ai)tnai=os	a-s---ma-
Αἰτναῖον	*ai)tnai=on	Αἰτναῖος	*ai)tnai=os	a-s---nn-
Αἰτναῖον	*ai)tnai=on	Αἰτναῖος	*ai)tnai=os	a-s---nv-
Αἰτναῖον	*ai)tnai=on	Αἰτναῖος	*ai)tnai=os	a-s---na-
Αἰτναῖος	*ai)tnai=os	Αἰτναῖος	*ai)tnai=os	a-s---mn-
Αἰτναῖά	*ai)tnai=a/	Αἰτναῖος	*ai)tnai=os	a-p---nn-
Αἰτναῖά	*ai)tnai=a/	Αἰτναῖος	*ai)tnai=os	a-p---nv-
Αἰτναῖά	*ai)tnai=a/	Αἰτναῖος	*ai)tnai=os	a-p---na-
Αἴτνας	*ai)/tnas	Αἰ̈τνη	*ai)+tnh	n-p---fa-
Αἴτνας	*ai)/tnas	Αἰ̈τνη	*ai)+tnh	n-s---fg-
Αἴτνας	*ai)/tnas	Αἴτνη	*ai)/tnh	n-p---fa-
Αἴτνας	*ai)/tnas	Αἴτνη	*ai)/tnh	n-s---fg-
Αἴτνῃ	*ai)/tnh|	Αἰ̈τνη	*ai)+tnh	n-s---fd-
Αἴτνῃ	*ai)/tnh|	Αἴτνη	*ai)/tnh	n-s---fd-
Βακχεῖε	*bakxei=e	Βάκχειος	*ba/kxeios	a-s---mv-
Βακχίου	*bakxi/ou	Βάκχειος	*ba/kxeios	a-s---mg-
Βακχίου	*bakxi/ou	Βάκχειος	*ba/kxeios	a-s---ng-
Βακχίου	*bakxi/ou	Βάκχειος	*ba/kxeios	a-s---mg-
Βακχίου	*bakxi/ou	Βάκχειος	*ba/kxeios	a-s---ng-
Βακχίου	*bakxi/ou	Βακχιόω	*bakxio/w	v3siia---
Βακχίου	*bakxi/ou	Βακχιόω	*bakxio/w	v2spma---
Βακχίῳ	*bakxi/w|	Βάκχειος	*ba/kxeios	a-s---md-
Βακχίῳ	*bakxi/w|	Βάκχειος	*ba/kxeios	a-s---nd-
Βακχίῳ	*bakxi/w|	Βάκχειος	*ba/kxeios	a-s---md-
