’	'	ἒ	e)\	x--------
Βυζαντίους	*buzanti/ous	Βυζάντιος	*buza/ntios	a-p---ma-
Βήλου	*bh/lou	Βῆλος	*bh=los	n-s---mg-
Βήσσου	*bh/ssou	Βῆσσος	*bh=ssos	n-s---mg-
Βήσσου	*bh/ssou	βήσσω	bh/ssw	v2spme---
Βήσσου	*bh/ssou	βήσσω	bh/ssw	v2siie---
Βῆσσον	*bh=sson	Βῆσσος	*bh=ssos	n-s---ma-
Βῆσσον	*bh=sson	βήσσω	bh/ssw	v-sppamv-
Βῆσσον	*bh=sson	βήσσω	bh/ssw	v-sppann-
Βῆσσον	*bh=sson	βήσσω	bh/ssw	v-sppanv-
Βῆσσον	*bh=sson	βήσσω	bh/ssw	v-sppana-
Βῆσσον	*bh=sson	βήσσω	bh/ssw	v3piia---
Βῆσσον	*bh=sson	βήσσω	bh/ssw	v1siia---
Γεδρωσίας	*gedrwsi/as	Γεδρώσιοι	*gedrw/sioi	a-p---fa-
Γεδρωσίας	*gedrwsi/as	Γεδρώσιοι	*gedrw/sioi	a-s---fg-
Γεδρωσίας	*gedrwsi/as	Γεδρωσία	*gedrwsi/a	n-p---fa-
Γεδρωσίας	*gedrwsi/as	Γεδρωσία	*gedrwsi/a	n-s---fg-
Γλαῦκον	*glau=kon	Γλαύκος	*glau/kos	n-s---ma-
Γλαῦκον	*glau=kon	Γλαῦκος	*glau=kos	n-s---ma-
Γλαῦκον	*glau=kon	γλαῦκος	glau=kos	n-s---ma-
Γορδυαίων	*gorduai/wn	Γορδυαῖοι	*gorduai=oi	n-p---mg-
Γορδυαίων	*gorduai/wn	Γορδυαῖος	*gorduai=os	a-p---fg-
Γορδυαίων	*gorduai/wn	Γορδυαῖος	*gorduai=os	a-p---mg-
Γορδυαίων	*gorduai/wn	Γορδυαῖος	*gorduai=os	a-p---ng-
Γρανικοῦ	*granikou=	Γρανικός	*graniko/s	n-s---mg-
Γρανικόν	*graniko/n	Γρανικός	*graniko/s	n-s---ma-
Γυμνοσοφιστῶν	*gumnosofistw=n	Γυμνοσοφισταί-πλ	*gumnosofistai/-pl	n-p---mg-
Γάγγην	*ga/gghn	Γάγγης	*ga/gghs	n-s---ma-
Γάζαν	*ga/zan	Γάζα	*ga/za	n-s---fa-
Γάζαν	*ga/zan	γάζα	ga/za	n-s---fa-
Γόρδιον	*go/rdion	Γόρδιος	*go/rdios	n-s---ma-
Δαισίου	*daisi/ou	Δαίσιος	*dai/sios	n-s---mg-
Δαμασκόν	*damasko/n	Δαμασκός	*damasko/s	n-s---ma-
Δαμασκῷ	*damaskw=|	Δαμασκός	*damasko/s	n-s---md-
Δαρείου	*darei/ou	Δαρεῖος	*darei=os	n-s---mg-
Δαρείῳ	*darei/w|	Δαρεῖος	*darei=os	n-s---md-
Δαρεῖον	*darei=on	Δαρεῖος	*darei=os	n-s---ma-
Δαρεῖος	*darei=os	Δαρεῖος	*darei=os	n-s---mn-
Δελφούς	*delfou/s	Δελφοί	*delfoi/	n-p---ma-
Δελφοῖς	*delfoi=s	Δελφοί	*delfoi/	n-p---md-
Δείνων	*dei/nwn	Δείνων	*dei/nwn	n-s---mn-
Δείνων	*dei/nwn	Δείνων	*dei/nwn	n-s---mv-
Δείνων	*dei/nwn	Δείνων	*dei/nwn	n-s---mn-
Δείνων	*dei/nwn	Δείνων	*dei/nwn	n-s---mv-
Δείνων	*dei/nwn	δεῖνα	dei=na	n-p---mg-
Δείνων	*dei/nwn	δεῖνα	dei=na	n-p---fg-
Δείνων	*dei/nwn	δεῖνα	dei=na	n-p---ng-
Δείνων	*dei/nwn	δεῖνος	dei=nos	n-p---mg-
Δείνων	*dei/nwn	δεινόω	deino/w	v3piia---
Δείνων	*dei/nwn	δεινόω	deino/w	v1siia---
Δημαράτου	*dhmara/tou	Δημ́αρατος	*dhm/aratos	n-s---mg-
Δημαράτου	*dhmara/tou	Δημάρατος	*dhma/ratos	n-s---mg-
Δημαράτου	*dhmara/tou	Δημαράτος	*dhmara/tos	n-s---mg-
Δημαράτου	*dhmara/tou	δημάρατος	dhma/ratos	n-s---mg-
Δημαράτου	*dhmara/tou	δημάρατος	dhma/ratos	n-s---fg-
Δημαράτου	*dhmara/tou	δημάρατος	dhma/ratos	n-s---ng-
Δημητρίου	*dhmhtri/ou	Δημ́ητριος	*dhm/htrios	n-s---mg-
Δημητρίου	*dhmhtri/ou	Δημήτριος	*dhmh/trios	n-s---mg-
Δημητρίου	*dhmhtri/ou	Δημήτριος	*dhmh/trios	n-s---fg-
Δημητρίου	*dhmhtri/ou	Δημήτριος	*dhmh/trios	n-s---ng-
Δημητρίου	*dhmhtri/ou	Δημήτριος	*dhmh/trios	n-s---mg-
Δημοσθένει	*dhmosqe/nei	Δημοσθένης	*dhmosqe/nhs	n-d---mn-
Δημοσθένει	*dhmosqe/nei	Δημοσθένης	*dhmosqe/nhs	n-d---mv-
Δημοσθένει	*dhmosqe/nei	Δημοσθένης	*dhmosqe/nhs	n-d---ma-
Δημοσθένει	*dhmosqe/nei	Δημοσθένης	*dhmosqe/nhs	n-s---md-
Δημοσθένει	*dhmosqe/nei	Δημοσθένης	*dhmosqe/nhs	n-s---md-
Δημάρατον	*dhma/raton	Δημ́αρατος	*dhm/aratos	n-s---ma-
Δημάρατον	*dhma/raton	Δημάρατος	*dhma/ratos	n-s---ma-
Δημάρατον	*dhma/raton	δημάρατος	dhma/ratos	n-s---ma-
Δημάρατον	*dhma/raton	δημάρατος	dhma/ratos	n-s---fa-
Δημάρατον	*dhma/raton	δημάρατος	dhma/ratos	n-s---nn-
Δημάρατον	*dhma/raton	δημάρατος	dhma/ratos	n-s---nv-
Δημάρατον	*dhma/raton	δημάρατος	dhma/ratos	n-s---na-
