Αἰγεῖ	*ai)gei=	Αἰγεύς	*ai)geu/s	n-s---md-
Αἰγεῖ	*ai)gei=	Αἰγίς	*ai)gi/s	n-d---fn-
Αἰγεῖ	*ai)gei=	Αἰγίς	*ai)gi/s	n-d---fv-
Αἰγεῖ	*ai)gei=	Αἰγίς	*ai)gi/s	n-d---fa-
Αἰγεῖ	*ai)gei=	Αἰγίς	*ai)gi/s	n-s---fd-
Αἰνίγματος	*ai)ni/gmatos	αἴνιγμα	ai)/nigma	n-s---ng-
Αἰσχύλος	*ai)sxu/los	Αἰσχύλος	*ai)sxu/los	n-s---mn-
Αἰσχύλου	*ai)sxu/lou	Αἰσχύλος	*ai)sxu/los	n-s---mg-
Αἱ	*ai(	ὁ	o(	l-p---fn-
Αἱ	*ai(	ὁ	o(	l-p---fv-
Αἴαντες	*ai)/antes	Αἴασ-πλ	*ai)/as-pl	n-p---mn-
Αἴαντες	*ai)/antes	Αἴασ-πλ	*ai)/as-pl	n-p---mv-
Αἴγισθος	*ai)/gisqos	Αἴγισθος	*ai)/gisqos	n-s---mn-
Αἴτιον	*ai)/tion	αἴτιος	ai)/tios	a-s---ma-
Αἴτιον	*ai)/tion	αἴτιος	ai)/tios	a-s---nn-
Αἴτιον	*ai)/tion	αἴτιος	ai)/tios	a-s---nv-
Αἴτιον	*ai)/tion	αἴτιος	ai)/tios	a-s---na-
Αἴτιον	*ai)/tion	αἴτιος	ai)/tios	n-s---ma-
Αἴτιον	*ai)/tion	αἴτιος	ai)/tios	n-s---fa-
Αἴτιον	*ai)/tion	αἴτιος	ai)/tios	n-s---nn-
Αἴτιον	*ai)/tion	αἴτιος	ai)/tios	n-s---nv-
Αἴτιον	*ai)/tion	αἴτιος	ai)/tios	n-s---na-
Αἴτιον	*ai)/tion	αἰτέω	ai)te/w	v3piia---
Αἴτιον	*ai)/tion	αἰτέω	ai)te/w	v1siia---
Αἵμων	*ai(/mwn	Αἵμων	*ai(/mwn	n-s---mn-
Αἵμων	*ai(/mwn	Αἵμων	*ai(/mwn	n-s---mv-
Αἵμων	*ai(/mwn	Αἷμος	*ai(=mos	n-p---mg-
Αἵμων	*ai(/mwn	Αῖ̔μος	*ai=(mos	n-p---mg-
Αἵμων	*ai(/mwn	αἵμων	ai(/mwn	n-s---mn-
Αἵμων	*ai(/mwn	αἵμων	ai(/mwn	n-s---mv-
Αἶψα	*ai)=ya	αἶψα	ai)=ya	d--------
Αὐλίδι	*au)li/di	Αὐλίς	*au)li/s	n-s---fd-
Αὐτόν	*au)to/n	αὐτός	au)to/s	n-s---ma-
Αὐτῆς	*au)th=s	αὐτός	au)to/s	n-s---fg-
Αὐτῶν	*au)tw=n	αὐτός	au)to/s	n-p---ng-
Αὐτῶν	*au)tw=n	αὐτός	au)to/s	n-p---fg-
Αὐτῶν	*au)tw=n	αὐτός	au)to/s	n-p---mg-
Αὐτῷ	*au)tw=|	αὐτός	au)to/s	n-s---nd-
Αὐτῷ	*au)tw=|	αὐτός	au)to/s	n-s---md-
Βέλτιον	*be/ltion	βελτίων	belti/wn	a-s---mv-
Βέλτιον	*be/ltion	βελτίων	belti/wn	a-s---fv-
Βέλτιον	*be/ltion	βελτίων	belti/wn	a-s---nn-
Βέλτιον	*be/ltion	βελτίων	belti/wn	a-s---nv-
Βέλτιον	*be/ltion	βελτίων	belti/wn	a-s---na-
Γανυμήδης	*ganumh/dhs	Γανυμήδη	*ganumh/dh	n-s---fg-
Γανυμήδης	*ganumh/dhs	Γανυμήδης	*ganumh/dhs	n-p---ma-
Γανυμήδης	*ganumh/dhs	Γανυμήδης	*ganumh/dhs	n-p---mn-
Γανυμήδης	*ganumh/dhs	Γανυμήδης	*ganumh/dhs	n-p---mv-
Γανυμήδης	*ganumh/dhs	Γανυμήδης	*ganumh/dhs	n-s---mn-
Γενομένη	*genome/nh	γίγνομαι	gi/gnomai	v-sapmfn-
Γενομένη	*genome/nh	γίγνομαι	gi/gnomai	v-sapmfv-
Γηγενεῖς	*ghgenei=s	γηγενής	ghgenh/s	n-p---ma-
Γηγενεῖς	*ghgenei=s	γηγενής	ghgenh/s	n-p---fa-
Γηγενεῖς	*ghgenei=s	γηγενής	ghgenh/s	n-p---mn-
Γηγενεῖς	*ghgenei=s	γηγενής	ghgenh/s	n-p---mv-
Γηγενεῖς	*ghgenei=s	γηγενής	ghgenh/s	n-p---fn-
Γηγενεῖς	*ghgenei=s	γηγενής	ghgenh/s	n-p---fv-
Γλαύκων	*glau/kwn	Γλαύκων	*glau/kwn	n-s---mn-
