urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:100.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406989
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:100.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430565
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:100.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312512657
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:100.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430098
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:100.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260607T0312534549
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:100.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260607T0312401548
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:100.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312534500
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:100.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312534501
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:100.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312534502
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:100.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312534503
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:100.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312534504
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:100.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T03124461883
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:100.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T03124461884
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:100.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T03124461885
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:100.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T03124461886
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:100.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T03124461887
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:100.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T03124461888
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:100.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T03124461889
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:100.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T03124461890
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:100.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T03124461891
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:100.1.text.token7	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400546
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1000.1.speaker.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010111
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1000.1.speaker.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T10290110883
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1000.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260613T0302553569
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1000.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260611T01550652097
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1000.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260611T01550652098
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1000.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260610T1707000158
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1000.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407560
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1000.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430771
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1000.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312422707
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1000.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430302
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.speaker.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010111
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.speaker.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T10290110883
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312401006
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312401007
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312401008
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312401009
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312401010
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312401011
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312401012
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T1029011173
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T1029011175
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T1029011177
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T1029011179
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260610T1704500668
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260610T1704500669
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260607T03124824784
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260607T03124824785
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260610T1322133882
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1001.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260610T1322133883
