Αἰνείας	*ai)nei/as	Αἰνείας	*ai)nei/as	n-s---mn-
Βῆ	*bh=	Βᾶς	*ba=s	n-s---mv-
Βῆ	*bh=	βαίνω	bai/nw	v3saia---
Βῆ	*bh=	βῆ	bh=	d--------
Γανυμήδεα	*ganumh/dea	Γανυμήδης	*ganumh/dhs	n-s---ma-
Δαρδανίδη	*dardani/dh	Δαρδανίδης	*dardani/dhs	n-s---mv-
Διός	*dio/s	Ζεύς	*zeu/s	n-s---mg-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	n-s---mn-
Ζηνός	*zhno/s	Ζεύς	*zeu/s	n-s---mg-
Θέμις	*qe/mis	Θέμις	*qe/mis	n-p---fa-
Θέμις	*qe/mis	Θέμις	*qe/mis	n-s---fn-
Θέμις	*qe/mis	Θέμις	*qe/mis	n-s---fn-
Θέμις	*qe/mis	Θέμις	*qe/mis	n-s---fn-
Θέμις	*qe/mis	θέμις	qe/mis	n-p---fa-
Θέμις	*qe/mis	θέμις	qe/mis	n-s---fn-
Θέμις	*qe/mis	θέμις	qe/mis	n-s---fn-
Θέμις	*qe/mis	θέμις	qe/mis	n-s---fn-
Κρονίωνα	*kroni/wna	Κρονίων	*kroni/wn	n-s---ma-
Κρόνος	*kro/nos	Κρόνος	*kro/nos	n-s---mn-
Κρόνος	*kro/nos	κρόνος	kro/nos	n-s---mn-
Κυθερείης	*kuqerei/hs	Κυθέρεια	*kuqe/reia	n-s---fg-
Κυθερείῃ	*kuqerei/h|	Κυθέρεια	*kuqe/reia	n-s---fd-
Κύπριδος	*ku/pridos	Κύπρις	*ku/pris	n-s---fg-
Κύπροιο	*ku/proio	Κύπρος	*ku/pros	n-s---fg-
Κύπροιο	*ku/proio	κύπρος	ku/pros	n-s---fg-
Κύπρον	*ku/pron	Κύπρος	*ku/pros	n-s---fa-
Κύπρον	*ku/pron	κύπρος	ku/pros	n-s---fa-
Λητώ	*lhtw/	Λητώ	*lhtw/	n-s---fn-
Νυμφάων	*numfa/wn	Νύμφαι	*nu/mfai	n-p---fg-
Νυμφάων	*numfa/wn	νύμφη	nu/mfh	n-p---fg-
Νυμφῶν	*numfw=n	Νύμφαι	*nu/mfai	n-p---fg-
Νυμφῶν	*numfw=n	νύμφη	nu/mfh	n-p---fg-
Νύμφαι	*nu/mfai	Νύμφαι	*nu/mfai	n-p---fn-
Νύμφαι	*nu/mfai	Νύμφαι	*nu/mfai	n-p---fv-
Νύμφαι	*nu/mfai	Νύμφαι	*nu/mfai	n-s---fd-
Νύμφαι	*nu/mfai	Νύμφης	*nu/mfhs	n-s---md-
Νύμφαι	*nu/mfai	νύμφη	nu/mfh	n-p---fn-
Νύμφαι	*nu/mfai	νύμφη	nu/mfh	n-p---fv-
Νύμφαι	*nu/mfai	νύμφη	nu/mfh	n-s---fd-
Νύμφης	*nu/mfhs	Νύμφαι	*nu/mfai	n-s---fg-
Νύμφης	*nu/mfhs	Νύμφης	*nu/mfhs	n-s---mn-
Νύμφης	*nu/mfhs	νύμφη	nu/mfh	n-s---fg-
Ποσειδάων	*poseida/wn	Ποσειδῶν	*poseidw=n	n-s---mn-
Ποσειδάων	*poseida/wn	Ποσειδῶν	*poseidw=n	n-s---mv-
Πάφον	*pa/fon	Πάφος	*pa/fos	n-s---fa-
Σειληνοί	*seilhnoi/	Σειληνός	*seilhno/s	n-p---mn-
Σειληνοί	*seilhnoi/	Σειληνός	*seilhno/s	n-p---mv-
Τιθωνόν	*tiqwno/n	Τιθωνός	*tiqwno/s	n-s---ma-
