frequency	elided_form	expanded_form	presentation_form	turns
174	δ’	δέ	δέ	urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:4.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:19.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:26.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:27.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:29.1.text.token8,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:32.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:38.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:63.1.text.token8,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:67.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:68.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:76.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:98.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:108.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:112.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:116.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:126.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:149.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:150.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:170.1.text.token10,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:175.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:181.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:216.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:222.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:229.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:230.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:233.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:241.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:249.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:255.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:258.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:263.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:281.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:293.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:296.1.text.token9,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:302.1.text.token10,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:312.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:314.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:319.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:325.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:328.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:337.1.text.token8,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:348.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:367.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:372.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:389.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:398.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:406.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:412.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:414.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:414.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:432.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:436.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:452.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:453.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:471.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:481.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:485.1.text.token11,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:486.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:500.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:501.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:525.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:527.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:528.1.text.token3,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:531.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:545.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:567.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:579.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:591.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:608.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:620.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:621.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:631.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:635.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:668.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:672.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:673.1.text.token8,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:712.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:733.1.text.token8,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:739.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:741.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:749.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:752.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:753.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:775.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:782.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:785.1.text.token8,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:789.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:791.1.text.token9,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:793.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:798.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:817.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:819.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:825.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:834.1.text.token10,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:846.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:851.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:880.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:900.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:915.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:926.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:935.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:936.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:937.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:937.1.text.token10,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:938.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:941.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:968.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:970.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:971.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:977.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:978.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:980.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:985.1.text.token10,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:991.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1015.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1025.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1031.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1039.1.text.token8,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1056.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1062.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1070.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1072.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1076.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1078.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1080.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1084.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1115.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1135.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1138.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1144.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1149.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1152.1.text.token9,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1157.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1171.1.text.token9,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1199.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1204.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1220.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1224.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1224.1.text.token11,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1229.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1232.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1233.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1239.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1244.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1249.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1256.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1258.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1260.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1265.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1267.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1274.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1276.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1277.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1282.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1286.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1290.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1295.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1304.1.text.token3,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1306.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1312.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1312.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1331.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1355.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1360.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1361.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1373.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1378.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1423.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1434.1.text.token9,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1442.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1462.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1490.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1507.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1521.2.text.token5
76	ἀλλ’	ἀλλά	ἀλλά	urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:9.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:14.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:51.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:66.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:78.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:82.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:132.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:138.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:142.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:258.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:280.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:287.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:294.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:297.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:330.1.text.token8,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:336.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:338.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:361.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:363.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:370.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:379.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:396.1.text.token8,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:406.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:443.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:496.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:505.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:521.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:523.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:566.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:601.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:613.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:627.2.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:627.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:644.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:769.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:831.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:848.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:856.1.text.token3,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:859.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:861.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:905.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:917.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:929.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:956.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:998.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1007.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1018.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1020.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1021.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1123.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1132.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1151.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1158.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1161.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1170.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1254.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1273.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1278.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1281.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1304.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1332.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1375.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1386.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1409.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1416.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1424.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1429.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1440.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1451.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1458.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1464.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1478.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1492.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1503.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1508.1.text.token1,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1515.1.text.token6
63	γ’	γε	γε	urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:35.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:65.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:257.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:258.1.text.token8,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:290.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:294.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:326.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:335.1.text.token3,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:342.1.text.token3,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:345.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:361.1.text.token3,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:369.1.text.token3,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:376.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:383.1.text.token3,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:393.1.text.token3,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:445.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:516.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:563.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:565.1.text.token3,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:570.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:571.1.text.token7,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:583.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:586.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:628.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:629.2.text.token3,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:680.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:706.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:712.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:715.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:770.1.text.token3,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:771.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:810.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:815.1.text.token3,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:836.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:849.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:855.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:857.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:930.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:931.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:987.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:994.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1004.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1007.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1015.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1035.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1046.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1066.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1101.1.text.token3,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1131.1.text.token3,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1169.1.text.token5,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1175.2.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1319.1.text.token3,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1335.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1347.1.text.token6,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1357.1.text.token3,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1377.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1378.1.text.token4,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1386.1.text.token2,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1440.1.text.token3,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1446.1.text.token3,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1455.1.text.token3,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1519.1.text.token3,urn:cts:greekLit:tlg0011.tlg004.fu-sp.tok:1522.1.text.token3
