Αἰακίδαο	*ai)aki/dao	Αἰακίδης	*ai)aki/dhs	n-s---mg-
Αἰαίη	*ai)ai/h	Αἰαίη	*ai)ai/h	n-s---fn-
Αἰαίη	*ai)ai/h	Αἰαίη	*ai)ai/h	n-s---fv-
Αἰαίην	*ai)ai/hn	Αἰαίη	*ai)ai/h	n-s---fa-
Αἰαίης	*ai)ai/hs	Αἰαίη	*ai)ai/h	n-s---fg-
Αἰγυπτίη	*ai)gupti/h	Αἰγύπτιος	*ai)gu/ptios	a-s---fn-
Αἰγυπτίη	*ai)gupti/h	Αἰγύπτιος	*ai)gu/ptios	a-s---fv-
Αἰγυπτίη	*ai)gupti/h	αἰγυπτία	ai)gupti/a	n-s---fn-
Αἰγυπτίη	*ai)gupti/h	αἰγυπτία	ai)gupti/a	n-s---fv-
Αἰγυπτίους	*ai)gupti/ous	Αἰγύπτιος	*ai)gu/ptios	a-p---ma-
Αἰγυπτίους	*ai)gupti/ous	Αἰγυπτιόω	*ai)guptio/w	v2siia---
Αἰγυπτίων	*ai)gupti/wn	Αἰγύπτιος	*ai)gu/ptios	a-p---fg-
Αἰγυπτίων	*ai)gupti/wn	Αἰγύπτιος	*ai)gu/ptios	a-p---mg-
Αἰγυπτίων	*ai)gupti/wn	Αἰγύπτιος	*ai)gu/ptios	a-p---ng-
Αἰγυπτίων	*ai)gupti/wn	Αἰγυπτιόω	*ai)guptio/w	v3piia---
Αἰγυπτίων	*ai)gupti/wn	Αἰγυπτιόω	*ai)guptio/w	v1siia---
Αἰγυπτίῃς	*ai)gupti/h|s	Αἰγύπτιος	*ai)gu/ptios	a-p---fd-
Αἰγυπτίῃς	*ai)gupti/h|s	αἰγυπτία	ai)gupti/a	n-p---fd-
Αἰγάς	*ai)ga/s	Αἰγαί	*ai)gai/	n-p---fa-
Αἰγίσθοιο	*ai)gi/sqoio	Αἴγισθος	*ai)/gisqos	n-s---mg-
Αἰγίσθου	*ai)gi/sqou	Αἴγισθος	*ai)/gisqos	n-s---mg-
Αἰγύπτιος	*ai)gu/ptios	Αἰγύπτιος	*ai)gu/ptios	a-s---mn-
Αἰγύπτοιο	*ai)gu/ptoio	Αἴγυπτος	*ai)/guptos	n-s---fg-
Αἰγύπτοιο	*ai)gu/ptoio	Αἴγυπτος	*ai)/guptos	n-s---mg-
Αἰγύπτου	*ai)gu/ptou	Αἴγυπτος	*ai)/guptos	n-s---fg-
Αἰγύπτου	*ai)gu/ptou	Αἴγυπτος	*ai)/guptos	n-s---mg-
Αἰγύπτῳ	*ai)gu/ptw|	Αἴγυπτος	*ai)/guptos	n-s---fd-
Αἰγύπτῳ	*ai)gu/ptw|	Αἴγυπτος	*ai)/guptos	n-s---md-
Αἰθιόπεσσιν	*ai)qio/pessin	Αἰθίοψ	*ai)qi/oy	n-p---md-
Αἰθιόπων	*ai)qio/pwn	Αἰθίοψ	*ai)qi/oy	n-p---mg-
Αἰθίοπας	*ai)qi/opas	Αἰθίοψ	*ai)qi/oy	n-p---ma-
Αἰθίοπάς	*ai)qi/opa/s	Αἰθίοψ	*ai)qi/oy	n-p---ma-
Αἰολίδαο	*ai)oli/dao	Αἰολίδης	*ai)oli/dhs	n-s---mg-
Αἰολίην	*ai)oli/hn	Αἰόλιος	*ai)o/lios	a-s---fa-
Αἰολίην	*ai)oli/hn	Αἰολίη	*ai)oli/h	n-s---fa-
Αἰολίην	*ai)oli/hn	αἰολίας	ai)oli/as	n-s---ma-
Αἰτωλός	*ai)twlo/s	Αἰτωλός	*ai)twlo/s	a-s---mn-
Αἰήταο	*ai)h/tao	Αἰήτης	*ai)h/ths	n-s---mg-
