form	token_urn	expanded_form	presentation_form
δείν’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:682.1.text.token4		δείν’
διάγραφ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:1073.1.text.token5		διάγραφ’
διήμησ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:1023.1.text.token2		διήμησ’
δι’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:909.1.text.token3	διά	διά
δι’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:1210.1.text.token4	διά	διά
δι’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:1219.1.text.token1	διά	διά
δρῶνθ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:624.1.text.token2		δρῶνθ’
δάμαρτ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:806.1.text.token6		δάμαρτ’
δάμαρτ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:1284.1.text.token7		δάμαρτ’
δέδοικ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:1122.1.text.token7		δέδοικ’
δέξατ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:164.1.text.token1		δέξατ’
δέσποιν’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:750.1.text.token1		δέσποιν’
δέχ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:654.1.text.token1		δέχ’
δίδωμ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:678.1.text.token7		δίδωμ’
δίκαι’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:675.1.text.token6		δίκαι’
δίκαι’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:1051.1.text.token1		δίκαι’
δίκαι’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:1096.1.text.token3		δίκαι’
δίκαι’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:1190.1.text.token5		δίκαι’
δόξ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:1013.1.text.token7		δόξ’
δύναιτ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:81.1.text.token2		δύναιτ’
δύστην’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:64.1.text.token6		δύστην’
δύ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:845.1.text.token4	δύο	δύο
δώμαθ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:387.1.text.token2		δώμαθ’
δώματ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:750.1.text.token4		δώματ’
δώματ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:810.1.text.token3		δώματ’
δῆτ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:274.1.text.token2	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:926.1.text.token3	δῆτα	δῆτα
δῶμ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:1025.1.text.token2		δῶμ’
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:6.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:14.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:19.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:30.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:44.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:62.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:73.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:74.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:75.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:78.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:84.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:87.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:95.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:122.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:130.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:161.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:164.2.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:171.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:207.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:211.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:218.1.text.token9	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:227.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:254.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:292.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:294.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:295.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:314.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:315.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:318.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:319.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:333.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:333.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:337.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:342.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:346.1.text.token3	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:350.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:353.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:376.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:384.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:397.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:399.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:406.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:413.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:418.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:421.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:426.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:429.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:442.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:452.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:476.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:477.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:503.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:508.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:512.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:513.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:519.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:530.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:532.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:534.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:535.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:582.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:583.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:598.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:608.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:620.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:640.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:641.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:642.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:657.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:684.1.text.token10	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:695.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:706.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:711.1.text.token8	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:713.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:718.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:723.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0006.tlg012.fu.sp:731.1.text.token2	δέ	δέ
