form	token_urn	expanded_form	presentation_form
δεῦρ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:155.1.text.token4	δεῦρο	δεῦρο
δεῦρ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1118.1.text.token7	δεῦρο	δεῦρο
δι’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:922.1.text.token1	διά	διά
δι’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1226.1.text.token5	διά	διά
δοξεῖτ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:741.1.text.token3		δοξεῖτ’
δήξομἄρ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:325.2.text.token1		δήξομἄρ’
δῆτ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:68.1.text.token2	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:125.2.text.token2	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:126.1.text.token3	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:618.1.text.token4	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:619.1.text.token2	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1011.1.text.token2	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1127.1.text.token4	δῆτα	δῆτα
δῆτ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:1228.1.text.token2	δῆτα	δῆτα
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:3.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:4.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:11.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:15.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:21.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:24.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:26.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:28.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:33.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:50.1.text.token8	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:51.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:80.1.text.token3	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:85.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:89.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:105.2.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:145.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:148.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:170.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:172.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:178.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:179.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:185.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:185.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:186.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:191.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:219.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:259.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:261.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:262.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:279.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:293.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:302.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:306.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:332.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:367.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:369.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:386.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:399.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:409.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:433.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:443.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:446.1.text.token4	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:454.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:455.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:483.1.text.token7	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:545.1.text.token5	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:552.1.text.token3	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:580.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:591.1.text.token8	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:597.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:601.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:604.1.text.token6	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:606.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:630.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:633.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:636.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:646.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:656.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:689.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:700.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:711.1.text.token2	δέ	δέ
δ’	urn:cts:greekLit:tlg0019.tlg001.fu-sp.tok:712.1.text.token2	δέ	δέ
