urn:cts:greekLit:tlg0011.tlg001.fu.sp:1.1.text.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312403228
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1000.1.speaker.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409518
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1000.1.text.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406433
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1000.1.text.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406434
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1000.1.text.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406435
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1000.1.text.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406436
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1000.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312400821
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1000.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430366
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1000.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833432273
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1000.1.text.token.3	urn:cite2:fufolio:greekmorph.2026a:20260607T03125128382
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1000.1.text.token.5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406433
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1000.1.text.token.5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406434
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1000.1.text.token.5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406435
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1000.1.text.token.5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312406436
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1000.1.text.token.6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409851
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1001.1.speaker.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409518
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1001.1.text.token.3	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010069
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1001.1.text.token.3	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010070
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1001.1.text.token.3	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430661
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1001.1.text.token.3	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430662
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1001.1.text.token.4	urn:cite2:fufolio:greekmorph.2026a:20260607T03124827189
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1001.1.text.token.5	urn:cite2:fufolio:greekmorph.2026a:20260607T03124447250
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1002.1.speaker.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409518
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1002.1.text.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407138
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1002.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312440989
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.speaker.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409518
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.text.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312420637
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.text.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312420638
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.text.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312420639
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407988
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407989
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407990
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407991
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407992
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407993
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407994
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407995
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407996
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312407997
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431070
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431071
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431072
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431073
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431210
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431900
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431901
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431902
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1003.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431903
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1004.1.speaker.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409518
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1004.1.text.token.1	urn:cite2:fufolio:greekmorph.2026a:20260610T13221310116
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1004.1.text.token.1	urn:cite2:fufolio:greekmorph.2026a:20260610T13221310117
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1004.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260610T13221310116
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1004.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260610T13221310117
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1005.1.speaker.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409518
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1005.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T03125111644
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1005.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T03125111645
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1005.1.text.token.5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312403330
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1005.1.text.token.5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312403331
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1005.1.text.token.5	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430425
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1005.1.text.token.5	urn:cite2:fufolio:greekmorph.2026a:20260608T1833432374
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1005.1.text.token.6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312485882
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1005.1.text.token.6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312485883
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1005.1.text.token.6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312485884
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1005.1.text.token.6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312485885
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1005.1.text.token.6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312485886
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1005.1.text.token.7	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463718
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1005.1.text.token.7	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463719
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1005.1.text.token.7	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463720
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1005.1.text.token.7	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463721
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1005.1.text.token.7	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463722
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1005.1.text.token.7	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463723
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1005.1.text.token.7	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463724
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1005.1.text.token.7	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463725
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1006.1.speaker.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409518
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1006.1.text.token.1	urn:cite2:fufolio:greekmorph.2026a:20260610T1256138052
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1006.1.text.token.1	urn:cite2:fufolio:greekmorph.2026a:20260610T1256138053
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1006.1.text.token.1	urn:cite2:fufolio:greekmorph.2026a:20260610T1256138054
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1006.1.text.token.1	urn:cite2:fufolio:greekmorph.2026a:20260610T1256138055
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1006.1.text.token.1	urn:cite2:fufolio:greekmorph.2026a:20260610T1256138056
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1006.1.text.token.1	urn:cite2:fufolio:greekmorph.2026a:20260610T1256138057
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1006.1.text.token.1	urn:cite2:fufolio:greekmorph.2026a:20260610T1256138058
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1006.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463718
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1006.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463719
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1006.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463720
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1006.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463721
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1006.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463722
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1006.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463723
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1006.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463724
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1006.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124463725
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1007.1.speaker.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409518
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1007.1.text.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312535720
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1007.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312535720
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1007.1.text.token.3	urn:cite2:fufolio:greekmorph.2026a:20260607T0312403482
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1007.1.text.token.3	urn:cite2:fufolio:greekmorph.2026a:20260607T0312403483
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1007.1.text.token.6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312404965
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1007.1.text.token.6	urn:cite2:fufolio:greekmorph.2026a:20260607T1029015274
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1008.1.speaker.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409518
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1008.1.text.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T03124444048
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1008.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T03125111644
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1008.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T03125111645
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1008.1.text.token.4	urn:cite2:fufolio:greekmorph.2026a:20260607T03124444048
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1009.1.speaker.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409518
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1009.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010030
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1009.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010031
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1009.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010032
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1009.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010033
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1009.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010034
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1009.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010035
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1009.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010036
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1009.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430174
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1009.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260608T1833432051
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1009.1.text.token.3	urn:cite2:fufolio:greekmorph.2026a:20260607T0312405946
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1009.1.text.token.3	urn:cite2:fufolio:greekmorph.2026a:20260607T0312405947
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1009.1.text.token.3	urn:cite2:fufolio:greekmorph.2026a:20260607T0312405948
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1009.1.text.token.4	urn:cite2:fufolio:greekmorph.2026a:20260607T0312402224
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1009.1.text.token.4	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430031
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1009.1.text.token.4	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430227
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1009.1.text.token.4	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430340
urn:cts:greekLit:tlg0011.tlg001.fu.sp:101.1.text.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312486763
urn:cts:greekLit:tlg0011.tlg001.fu.sp:101.1.text.token.3	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010254
urn:cts:greekLit:tlg0011.tlg001.fu.sp:101.1.text.token.3	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010255
urn:cts:greekLit:tlg0011.tlg001.fu.sp:101.1.text.token.5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312517834
urn:cts:greekLit:tlg0011.tlg001.fu.sp:101.1.text.token.5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312517835
urn:cts:greekLit:tlg0011.tlg001.fu.sp:101.1.text.token.6	urn:cite2:fufolio:greekmorph.2026a:20260607T03125311133
urn:cts:greekLit:tlg0011.tlg001.fu.sp:101.1.text.token.6	urn:cite2:fufolio:greekmorph.2026a:20260607T03125311134
urn:cts:greekLit:tlg0011.tlg001.fu.sp:101.1.text.token.6	urn:cite2:fufolio:greekmorph.2026a:20260607T03125311135
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1010.1.speaker.token.1	urn:cite2:fufolio:greekmorph.2026a:20260607T0312409518
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1010.1.text.token.10	urn:cite2:fufolio:greekmorph.2026a:20260607T0312405347
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1010.1.text.token.10	urn:cite2:fufolio:greekmorph.2026a:20260607T0312405348
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1010.1.text.token.10	urn:cite2:fufolio:greekmorph.2026a:20260607T1029015701
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1010.1.text.token.10	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430756
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1010.1.text.token.11	urn:cite2:fufolio:greekmorph.2026a:20260607T03125137189
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1010.1.text.token.11	urn:cite2:fufolio:greekmorph.2026a:20260607T03125137190
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1010.1.text.token.11	urn:cite2:fufolio:greekmorph.2026a:20260607T03125137191
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1010.1.text.token.11	urn:cite2:fufolio:greekmorph.2026a:20260607T03125137192
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1010.1.text.token.11	urn:cite2:fufolio:greekmorph.2026a:20260607T03125137193
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1010.1.text.token.13	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010254
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1010.1.text.token.13	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010255
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1010.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312403482
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1010.1.text.token.2	urn:cite2:fufolio:greekmorph.2026a:20260607T0312403483
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1010.1.text.token.6	urn:cite2:fufolio:greekmorph.2026a:20260607T03125138814
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1010.1.text.token.7	urn:cite2:fufolio:greekmorph.2026a:20260607T0312482072
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1010.1.text.token.7	urn:cite2:fufolio:greekmorph.2026a:20260607T0312482073
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1010.1.text.token.8	urn:cite2:fufolio:greekmorph.2026a:20260607T0312423929
urn:cts:greekLit:tlg0011.tlg001.fu.sp:1010.1.text.token.8	urn:cite2:fufolio:greekmorph.2026a:20260607T0312423930
