Αἰγέως	*ai)ge/ws	Αἰγίς	*ai)gi/s	urn:cite2:hmt:lsj.chicago_md:n2177	n-s---fg-
Αἰγέως	*ai)ge/ws	αἴγεος	ai)/geos	urn:cite2:hmt:lsj.chicago_md:n2131	x--------
Αἰγέως	*ai)ge/ws	αἴγεος	ai)/geos	urn:cite2:hmt:lsj.chicago_md:n2131	a-p---ma-
Αἰγύπτῳ	*ai)gu/ptw|	Αἴγυπτος	*ai)/guptos	urn:cite2:hmt:lsj.chicago_md:n2224	n-s---fd-
Αἰγύπτῳ	*ai)gu/ptw|	Αἴγυπτος	*ai)/guptos	urn:cite2:hmt:lsj.chicago_md:n2224	n-s---md-
Αἰδώς	*ai)dw/s	αἰδώς	ai)dw/s	urn:cite2:hmt:lsj.chicago_md:n2271	n-s---fn-
Αἰδώς	*ai)dw/s	αἰδώς	ai)dw/s	urn:cite2:hmt:lsj.chicago_md:n2271	n-s---fn-
Αἰτναίας	*ai)tnai/as	Αἰτναῖος	*ai)tnai=os	urn:cite2:hmt:lsj.chicago_md:n2782	a-p---fa-
Αἰτναίας	*ai)tnai/as	Αἰτναῖος	*ai)tnai=os	urn:cite2:hmt:lsj.chicago_md:n2782	a-s---fg-
Γᾶς	*ga=s	Γαῖα	*gai=a	urn:cite2:hmt:lsj.chicago_md:n21401	n-s---fg-
Γᾶς	*ga=s	Γαῖα	*gai=a	urn:cite2:hmt:lsj.chicago_md:n21401	n-p---fa-
Γᾶς	*ga=s	Γαῖα	*gai=a	urn:cite2:hmt:lsj.chicago_md:n21401	n-s---fg-
Γᾶς	*ga=s	γῆ	gh=	urn:cite2:hmt:lsj.chicago_md:n22100	n-p---fa-
Γᾶς	*ga=s	γῆ	gh=	urn:cite2:hmt:lsj.chicago_md:n22100	n-s---fg-
Γῆς	*gh=s	Γαῖα	*gai=a	urn:cite2:hmt:lsj.chicago_md:n21401	n-s---fg-
Γῆς	*gh=s	Γαῖα	*gai=a	urn:cite2:hmt:lsj.chicago_md:n21401	n-s---fg-
Γῆς	*gh=s	γῆ	gh=	urn:cite2:hmt:lsj.chicago_md:n22100	n-s---fg-
Διόνυσος	*dio/nusos	Διόνυσος	*dio/nusos	urn:cite2:hmt:lsj.chicago_md:n27219	n-s---mn-
Διός	*dio/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mg-
Δωρικόν	*dwriko/n	Δωρικός	*dwriko/s	urn:cite2:hmt:lsj.chicago_md:n29804	a-s---ma-
Δωρικόν	*dwriko/n	Δωρικός	*dwriko/s	urn:cite2:hmt:lsj.chicago_md:n29804	a-s---nn-
Δωρικόν	*dwriko/n	Δωρικός	*dwriko/s	urn:cite2:hmt:lsj.chicago_md:n29804	a-s---nv-
Δωρικόν	*dwriko/n	Δωρικός	*dwriko/s	urn:cite2:hmt:lsj.chicago_md:n29804	a-s---na-
Δωρίδι	*dwri/di	Δωρίς	*dwri/s	urn:cite2:hmt:lsj.chicago_md:n29806	n-s---fd-
Δήμητρος	*dh/mhtros	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-s---fg-
Δήμητρος	*dh/mhtros	Δημήτηρ	*dhmh/thr	urn:cite2:hmt:lsj.chicago_md:n24373	n-s---fg-
Δίκη	*di/kh	Δίκη	*di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-s---fn-
Δίκη	*di/kh	Δίκη	*di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-s---fv-
Δίκη	*di/kh	δίκη	di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-s---fn-
Δίκη	*di/kh	δίκη	di/kh	urn:cite2:hmt:lsj.chicago_md:n26943	n-s---fv-
Εὐμενίδας	*eu)meni/das	Εὐμενίδες	*eu)meni/des	urn:cite2:hmt:lsj.chicago_md:n44454	n-p---fa-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mn-
