Αἰγέως	*ai)ge/ws	Αἰγίς	*ai)gi/s	urn:cite2:hmt:lsj.chicago_md:n2177	n-s---fg-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	urn:cite2:hmt:lsj.chicago_md:n46204	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	urn:cite2:hmt:lsj.chicago_md:n46204	v2siie---
Ζηνί	*zhni/	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---md-
Ζηνός	*zhno/s	Ζεύς	*zeu/s	urn:cite2:hmt:lsj.chicago_md:n46195	n-s---mg-
Θεσσαλίς	*qessali/s	Θεσσαλός	*qessalo/s	urn:cite2:hmt:lsj.chicago_md:n48551	n-s---fn-
Θησειδᾶν	*qhseida=n	Θησεῖδαι	*qhsei=dai	urn:cite2:hmt:lsj.chicago_md:n48830	n-p---mg-
Θησεύς	*qhseu/s	Θησεύς	*qhseu/s	urn:cite2:hmt:lsj.chicago_md:n48835	n-s---mn-
Θησεῦ	*qhseu=	Θησεύς	*qhseu/s	urn:cite2:hmt:lsj.chicago_md:n48835	n-s---mv-
Θησέα	*qhse/a	Θησεύς	*qhseu/s	urn:cite2:hmt:lsj.chicago_md:n48835	n-s---ma-
Θησέως	*qhse/ws	Θησεύς	*qhseu/s	urn:cite2:hmt:lsj.chicago_md:n48835	n-s---mg-
Θησέως	*qhse/ws	Θησεύς	*qhseu/s	urn:cite2:hmt:lsj.chicago_md:n48835	n-s---mg-
Θησέως	*qhse/ws	Θησεύς	*qhseu/s	urn:cite2:hmt:lsj.chicago_md:n48835	n-s---mn-
Θήβαις	*qh/bais	Θῆβαι	*qh=bai	urn:cite2:hmt:lsj.chicago_md:n48603	n-p---fd-
Θήβας	*qh/bas	Θῆβαι	*qh=bai	urn:cite2:hmt:lsj.chicago_md:n48603	n-p---fa-
Θῆβαί	*qh=bai/	Θῆβαι	*qh=bai	urn:cite2:hmt:lsj.chicago_md:n48603	n-p---fn-
Θῆβαί	*qh=bai/	Θῆβαι	*qh=bai	urn:cite2:hmt:lsj.chicago_md:n48603	n-p---fv-
Κολωνοῦ	*kolwnou=	Κολωνός	*kolwno/s	urn:cite2:hmt:lsj.chicago_md:n58760	n-s---mg-
Κολωνοῦ	*kolwnou=	κολωνός	kolwno/s	urn:cite2:hmt:lsj.chicago_md:n58760	n-s---mg-
Κολωνόν	*kolwno/n	Κολωνός	*kolwno/s	urn:cite2:hmt:lsj.chicago_md:n58760	n-s---ma-
Κολωνόν	*kolwno/n	κολωνός	kolwno/s	urn:cite2:hmt:lsj.chicago_md:n58760	n-s---ma-
Κρέοντα	*kre/onta	Κρέων	*kre/wn	urn:cite2:hmt:lsj.chicago_md:n59858	n-s---ma-
Κρέοντα	*kre/onta	Κρέων	*kre/wn	urn:cite2:hmt:lsj.chicago_md:n59859	n-s---ma-
Κρέοντα	*kre/onta	κρέων	kre/wn	urn:cite2:hmt:lsj.chicago_md:n59858	n-s---ma-
Κρέοντα	*kre/onta	κρείων	krei/wn	urn:cite2:hmt:lsj.chicago_md:n59796	n-s---ma-
Κρέοντά	*kre/onta/	Κρέων	*kre/wn	urn:cite2:hmt:lsj.chicago_md:n59858	n-s---ma-
Κρέοντά	*kre/onta/	Κρέων	*kre/wn	urn:cite2:hmt:lsj.chicago_md:n59859	n-s---ma-
Κρέοντά	*kre/onta/	κρέων	kre/wn	urn:cite2:hmt:lsj.chicago_md:n59858	n-s---ma-
Κρέοντά	*kre/onta/	κρείων	krei/wn	urn:cite2:hmt:lsj.chicago_md:n59796	n-s---ma-
Κρέοντί	*kre/onti/	Κρέων	*kre/wn	urn:cite2:hmt:lsj.chicago_md:n59858	n-s---md-
Κρέοντί	*kre/onti/	Κρέων	*kre/wn	urn:cite2:hmt:lsj.chicago_md:n59859	n-s---md-
Κρέοντί	*kre/onti/	κρέων	kre/wn	urn:cite2:hmt:lsj.chicago_md:n59858	n-s---md-
Κρέοντί	*kre/onti/	κρείων	krei/wn	urn:cite2:hmt:lsj.chicago_md:n59796	n-s---md-
Κρέων	*kre/wn	Κρέων	*kre/wn	urn:cite2:hmt:lsj.chicago_md:n59858	n-s---mn-
Κρέων	*kre/wn	Κρέων	*kre/wn	urn:cite2:hmt:lsj.chicago_md:n59859	n-s---mn-
Κρέων	*kre/wn	κρέων	kre/wn	urn:cite2:hmt:lsj.chicago_md:n59858	n-s---mn-
Κρέων	*kre/wn	κρείων	krei/wn	urn:cite2:hmt:lsj.chicago_md:n59796	n-s---mn-
Κρόνου	*kro/nou	Κρόνος	*kro/nos	urn:cite2:hmt:lsj.chicago_md:n60131	n-s---mg-
Κρόνου	*kro/nou	Κρόνος	*kro/nos	urn:cite2:hmt:lsj.chicago_md:n60132	n-s---mg-
Κρόνου	*kro/nou	κρόνος	kro/nos	urn:cite2:hmt:lsj.chicago_md:n60131	n-s---mg-
Κρόνου	*kro/nou	κρόνος	kro/nos	urn:cite2:hmt:lsj.chicago_md:n60132	n-s---mg-
Λαΐου	*lai+/ou	Λάϊος	*la/i+os	urn:cite2:hmt:lsj.chicago_md:n61676	n-s---mg-
Λαΐου	*lai+/ou	Λάϊος	*la/i+os	urn:cite2:hmt:lsj.chicago_md:n61677	n-s---mg-
Λαΐου	*lai+/ou	Λαΐος	*lai/+os	urn:cite2:hmt:lsj.chicago_md:n61676	n-s---mg-
Λαΐου	*lai+/ou	Λαΐος	*lai/+os	urn:cite2:hmt:lsj.chicago_md:n61677	n-s---mg-
Λαΐου	*lai+/ou	λήιον	lh/ion	urn:cite2:hmt:lsj.chicago_md:n62862	n-s---ng-
Λαΐου	*lai+/ou	λήιον	lh/ion	urn:cite2:hmt:lsj.chicago_md:n62863	n-s---ng-
Μουσᾶν	*mousa=n	Μοῦσα	*mou=sa	urn:cite2:hmt:lsj.chicago_md:n68876	n-p---fg-
Νηρῄδων	*nhrh/|dwn	Νηρηίς	*nhrhi/s	urn:cite2:hmt:lsj.chicago_md:n70731	n-p---fg-
Νηρῄδων	*nhrh/|dwn	Νηρηίς	*nhrhi/s	urn:cite2:hmt:lsj.chicago_md:n70731	n-p---fg-
Οἰδιπόδαν	*oi)dipo/dan	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-s---ma-
Οἰδιπόδαν	*oi)dipo/dan	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-s---ma-
Οἰδίπου	*oi)di/pou	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-s---nn-
Οἰδίπου	*oi)di/pou	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-s---nv-
Οἰδίπου	*oi)di/pou	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-s---na-
Οἰδίπουν	*oi)di/poun	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-s---ma-
Οἰδίπουν	*oi)di/poun	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-s---fa-
Οἰδίπους	*oi)di/pous	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-s---mn-
Οἰδίπους	*oi)di/pous	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-s---mv-
Οἰδίπους	*oi)di/pous	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-s---fn-
Οἰδίπους	*oi)di/pous	Οἰδίπους	*oi)di/pous	urn:cite2:hmt:lsj.chicago_md:n72214	n-s---fv-
Οἰάτιδος	*oi)a/tidos	οἰάτης	oi)a/ths	urn:cite2:hmt:lsj.chicago_md:n72197	n-s---fg-
Παλλάδος	*palla/dos	Παλλάς	*palla/s	urn:cite2:hmt:lsj.chicago_md:n77017	n-s---fg-
Παλλάδος	*palla/dos	Παλλάς	*palla/s	urn:cite2:hmt:lsj.chicago_md:n77018	n-s---fg-
Παλλάς	*palla/s	Παλλάς	*palla/s	urn:cite2:hmt:lsj.chicago_md:n77017	n-s---fn-
Παλλάς	*palla/s	Παλλάς	*palla/s	urn:cite2:hmt:lsj.chicago_md:n77018	n-s---fn-
Περίθου	*peri/qou	περιτίθημι	periti/qhmi	urn:cite2:hmt:lsj.chicago_md:n82367	v2samm---
Περίθου	*peri/qou	περιτίθημι	periti/qhmi	urn:cite2:hmt:lsj.chicago_md:n82367	v2saim---
Πολυνείκη	*polunei/kh	Πολυνείκης	*polunei/khs	urn:cite2:hmt:lsj.chicago_md:n85106	n-d---mn-
Πολυνείκη	*polunei/kh	Πολυνείκης	*polunei/khs	urn:cite2:hmt:lsj.chicago_md:n85106	n-d---mv-
Πολυνείκη	*polunei/kh	Πολυνείκης	*polunei/khs	urn:cite2:hmt:lsj.chicago_md:n85106	n-d---ma-
Πολυνείκη	*polunei/kh	Πολυνείκης	*polunei/khs	urn:cite2:hmt:lsj.chicago_md:n85106	n-s---ma-
Πολυνείκης	*polunei/khs	Πολυνείκης	*polunei/khs	urn:cite2:hmt:lsj.chicago_md:n85106	n-p---ma-
Πολυνείκης	*polunei/khs	Πολυνείκης	*polunei/khs	urn:cite2:hmt:lsj.chicago_md:n85106	n-p---mn-
Πολυνείκης	*polunei/khs	Πολυνείκης	*polunei/khs	urn:cite2:hmt:lsj.chicago_md:n85106	n-p---mv-
Πολυνείκης	*polunei/khs	Πολυνείκης	*polunei/khs	urn:cite2:hmt:lsj.chicago_md:n85106	n-s---mn-
Πολύνεικες	*polu/neikes	Πολυνείκης	*polunei/khs	urn:cite2:hmt:lsj.chicago_md:n85106	n-s---mv-
Ποσειδωνίῳ	*poseidwni/w|	Ποσειδώνιος	*poseidw/nios	urn:cite2:hmt:lsj.chicago_md:n85894	a-s---md-
Ποσειδωνίῳ	*poseidwni/w|	Ποσειδώνιος	*poseidw/nios	urn:cite2:hmt:lsj.chicago_md:n85894	a-s---nd-
Ποσειδῶν	*poseidw=n	Ποσειδῶν	*poseidw=n	urn:cite2:hmt:lsj.chicago_md:n85893	n-s---mn-
Ποσειδῶνος	*poseidw=nos	Ποσειδῶν	*poseidw=n	urn:cite2:hmt:lsj.chicago_md:n85893	n-s---mg-
Προμηθεύς	*promhqeu/s	Προμηθεύς	*promhqeu/s	urn:cite2:hmt:lsj.chicago_md:n88017	n-s---mn-
Προμηθεύς	*promhqeu/s	προμηθεύς	promhqeu/s	urn:cite2:hmt:lsj.chicago_md:n88017	n-s---mn-
Πυθίαις	*puqi/ais	Πύθιος	*pu/qios	urn:cite2:hmt:lsj.chicago_md:n91372	a-p---fd-
Πυθίαις	*puqi/ais	Πυθία	*puqi/a	urn:cite2:hmt:lsj.chicago_md:n91362	n-p---fd-
Πυθίαις	*puqi/ais	Πυθία	*puqi/a	urn:cite2:hmt:lsj.chicago_md:n91363	n-p---fd-
Πέλοπος	*pe/lopos	Πέλοψ	*pe/loy	urn:cite2:hmt:lsj.chicago_md:n80508	n-s---mg-
Σκότου	*sko/tou	σκότος	sko/tos	urn:cite2:hmt:lsj.chicago_md:n95221	n-s---mg-
Σκότου	*sko/tou	σκοτόω	skoto/w	urn:cite2:hmt:lsj.chicago_md:n95224	v2spma---
Σκότου	*sko/tou	σκοτόω	skoto/w	urn:cite2:hmt:lsj.chicago_md:n95224	v3siia---
Στύγιον	*stu/gion	Στύγιος	*stu/gios	urn:cite2:hmt:lsj.chicago_md:n97363	a-s---ma-
Στύγιον	*stu/gion	Στύγιος	*stu/gios	urn:cite2:hmt:lsj.chicago_md:n97363	a-s---nn-
Στύγιον	*stu/gion	Στύγιος	*stu/gios	urn:cite2:hmt:lsj.chicago_md:n97363	a-s---nv-
Στύγιον	*stu/gion	Στύγιος	*stu/gios	urn:cite2:hmt:lsj.chicago_md:n97363	a-s---na-
Στύγιον	*stu/gion	Στύγιος	*stu/gios	urn:cite2:hmt:lsj.chicago_md:n97363	n-s---ma-
Στύγιον	*stu/gion	Στύγιος	*stu/gios	urn:cite2:hmt:lsj.chicago_md:n97363	n-s---fa-
Στύγιον	*stu/gion	Στύγιος	*stu/gios	urn:cite2:hmt:lsj.chicago_md:n97363	n-s---nn-
Στύγιον	*stu/gion	Στύγιος	*stu/gios	urn:cite2:hmt:lsj.chicago_md:n97363	n-s---nv-
Στύγιον	*stu/gion	Στύγιος	*stu/gios	urn:cite2:hmt:lsj.chicago_md:n97363	n-s---na-
Στύγιον	*stu/gion	στυγέω	stuge/w	urn:cite2:hmt:lsj.chicago_md:n97359	v3piia---
Στύγιον	*stu/gion	στυγέω	stuge/w	urn:cite2:hmt:lsj.chicago_md:n97359	v1siia---
Ταλαός	*talao/s	Ταλαός	*talao/s	urn:cite2:hmt:lsj.chicago_md:n102234	n-s---mn-
Ταλαός	*talao/s	ταλαός	talao/s	urn:cite2:hmt:lsj.chicago_md:n102234	a-s---mn-
Ταρτάρου	*tarta/rou	Τάρταρος	*ta/rtaros	urn:cite2:hmt:lsj.chicago_md:n102501	n-s---fg-
Ταρτάρου	*tarta/rou	Ταρταρόω	*tartaro/w	urn:cite2:hmt:lsj.chicago_md:n102504	v3siia---
Ταρτάρου	*tarta/rou	Ταρταρόω	*tartaro/w	urn:cite2:hmt:lsj.chicago_md:n102504	v2spma---
Ταρτάρου	*tarta/rou	ταρταρόω	tartaro/w	urn:cite2:hmt:lsj.chicago_md:n102504	v2spma---
Ταρτάρου	*tarta/rou	ταρταρόω	tartaro/w	urn:cite2:hmt:lsj.chicago_md:n102504	v3siia---
Τιτάν	*tita/n	Τιτάν	*tita/n	urn:cite2:hmt:lsj.chicago_md:n104056	n-s---mn-
Τιτάν	*tita/n	Τιτάν	*tita/n	urn:cite2:hmt:lsj.chicago_md:n104056	n-s---mv-
Τυδεύς	*tudeu/s	Τυδεύς	*tudeu/s	urn:cite2:hmt:lsj.chicago_md:n105831	n-s---mn-
Φοίβου	*foi/bou	Φοῖβος	*foi=bos	urn:cite2:hmt:lsj.chicago_md:n111928	n-s---mg-
Φοίβου	*foi/bou	φοῖβος	foi=bos	urn:cite2:hmt:lsj.chicago_md:n111928	a-s---mg-
Φοίβου	*foi/bou	φοῖβος	foi=bos	urn:cite2:hmt:lsj.chicago_md:n111928	a-s---ng-
Φοίβῳ	*foi/bw|	Φοῖβος	*foi=bos	urn:cite2:hmt:lsj.chicago_md:n111928	n-s---md-
Φοίβῳ	*foi/bw|	φοῖβος	foi=bos	urn:cite2:hmt:lsj.chicago_md:n111928	a-s---md-
Φοίβῳ	*foi/bw|	φοῖβος	foi=bos	urn:cite2:hmt:lsj.chicago_md:n111928	a-s---nd-
Φοῖβος	*foi=bos	Φοῖβος	*foi=bos	urn:cite2:hmt:lsj.chicago_md:n111928	n-s---mn-
Φοῖβος	*foi=bos	φοῖβος	foi=bos	urn:cite2:hmt:lsj.chicago_md:n111928	a-s---mn-
αἰαῖ	ai)ai=	αἰαῖ	ai)ai=	urn:cite2:hmt:lsj.chicago_md:n2105	x--------
αἰδοῦς	ai)dou=s	αἰδώ	ai)dw/	urn:cite2:hmt:lsj.chicago_md:n2268	n-p---fn-
αἰδοῦς	ai)dou=s	αἰδώ	ai)dw/	urn:cite2:hmt:lsj.chicago_md:n2268	n-p---fv-
αἰδοῦς	ai)dou=s	αἰδώ	ai)dw/	urn:cite2:hmt:lsj.chicago_md:n2268	n-s---fg-
αἰδοῦς	ai)dou=s	αἰδώς	ai)dw/s	urn:cite2:hmt:lsj.chicago_md:n2271	n-p---fn-
αἰδοῦς	ai)dou=s	αἰδώς	ai)dw/s	urn:cite2:hmt:lsj.chicago_md:n2271	n-p---fv-
αἰδοῦς	ai)dou=s	αἰδώς	ai)dw/s	urn:cite2:hmt:lsj.chicago_md:n2271	n-s---fg-
αἰδόφρονες	ai)do/frones	αἰδόφρων	ai)do/frwn	urn:cite2:hmt:lsj.chicago_md:n2261	n-p---mn-
αἰδόφρονες	ai)do/frones	αἰδόφρων	ai)do/frwn	urn:cite2:hmt:lsj.chicago_md:n2261	n-p---mv-
αἰδόφρονες	ai)do/frones	αἰδόφρων	ai)do/frwn	urn:cite2:hmt:lsj.chicago_md:n2261	n-p---fn-
αἰδόφρονες	ai)do/frones	αἰδόφρων	ai)do/frwn	urn:cite2:hmt:lsj.chicago_md:n2261	n-p---fv-
αἰεί	ai)ei/	ἀεί	a)ei/	urn:cite2:hmt:lsj.chicago_md:n1564	d--------
αἰθερίας	ai)qeri/as	αἰθέριος	ai)qe/rios	urn:cite2:hmt:lsj.chicago_md:n2309	a-p---fa-
αἰθερίας	ai)qeri/as	αἰθέριος	ai)qe/rios	urn:cite2:hmt:lsj.chicago_md:n2309	a-s---fg-
αἰθήρ	ai)qh/r	αἰθήρ	ai)qh/r	urn:cite2:hmt:lsj.chicago_md:n2324	n-s---mn-
αἰκίας	ai)ki/as	αἰκία	ai)ki/a	urn:cite2:hmt:lsj.chicago_md:n2372	n-p---fa-
αἰκίας	ai)ki/as	αἰκία	ai)ki/a	urn:cite2:hmt:lsj.chicago_md:n2372	n-s---fg-
αἰνά	ai)na/	αἰνός	ai)no/s	urn:cite2:hmt:lsj.chicago_md:n2565	a-p---nn-
αἰνά	ai)na/	αἰνός	ai)no/s	urn:cite2:hmt:lsj.chicago_md:n2565	a-p---nv-
αἰνά	ai)na/	αἰνός	ai)no/s	urn:cite2:hmt:lsj.chicago_md:n2565	a-p---na-
αἰνά	ai)na/	αἰνός	ai)no/s	urn:cite2:hmt:lsj.chicago_md:n2565	a-d---fn-
αἰνά	ai)na/	αἰνός	ai)no/s	urn:cite2:hmt:lsj.chicago_md:n2565	a-d---fv-
αἰνά	ai)na/	αἰνός	ai)no/s	urn:cite2:hmt:lsj.chicago_md:n2565	a-d---fa-
αἰνά	ai)na/	αἰνός	ai)no/s	urn:cite2:hmt:lsj.chicago_md:n2565	a-s---fn-
αἰνά	ai)na/	αἰνός	ai)no/s	urn:cite2:hmt:lsj.chicago_md:n2565	a-s---fv-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-s---ma-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-s---nn-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-s---nv-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	a-s---na-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	n-s---ma-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	n-s---fa-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	n-s---nn-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	n-s---nv-
αἰσχρόν	ai)sxro/n	αἰσχρός	ai)sxro/s	urn:cite2:hmt:lsj.chicago_md:n2731	n-s---na-
αἰσχύνεις	ai)sxu/neis	αἰσχύνω	ai)sxu/nw	urn:cite2:hmt:lsj.chicago_md:n2749	v2sasa---
αἰσχύνεις	ai)sxu/neis	αἰσχύνω	ai)sxu/nw	urn:cite2:hmt:lsj.chicago_md:n2749	v2spia---
αἰτεῖ	ai)tei=	αἰτέω	ai)te/w	urn:cite2:hmt:lsj.chicago_md:n2754	v2spie---
αἰτεῖ	ai)tei=	αἰτέω	ai)te/w	urn:cite2:hmt:lsj.chicago_md:n2754	v3spia---
αἰτεῖν	ai)tei=n	αἰτέω	ai)te/w	urn:cite2:hmt:lsj.chicago_md:n2754	v--pna---
αἰτεῖς	ai)tei=s	αἰτέω	ai)te/w	urn:cite2:hmt:lsj.chicago_md:n2754	v2spia---
αἰτοῦ	ai)tou=	αἰτέω	ai)te/w	urn:cite2:hmt:lsj.chicago_md:n2754	v2spme---
αἰτοῦ	ai)tou=	αἰτέω	ai)te/w	urn:cite2:hmt:lsj.chicago_md:n2754	v2siie---
αἰτίαν	ai)ti/an	αἴτιος	ai)/tios	urn:cite2:hmt:lsj.chicago_md:n2777	a-s---fa-
αἰτίαν	ai)ti/an	αἰτία	ai)ti/a	urn:cite2:hmt:lsj.chicago_md:n2764	n-s---fa-
αἰτῶ	ai)tw=	αἰτέω	ai)te/w	urn:cite2:hmt:lsj.chicago_md:n2754	v1spsa---
αἰτῶ	ai)tw=	αἰτέω	ai)te/w	urn:cite2:hmt:lsj.chicago_md:n2754	v1spia---
αἰωρήσασα	ai)wrh/sasa	αἰωρέω	ai)wre/w	urn:cite2:hmt:lsj.chicago_md:n2824	v-sapafn-
αἰωρήσασα	ai)wrh/sasa	αἰωρέω	ai)wre/w	urn:cite2:hmt:lsj.chicago_md:n2824	v-sapafv-
αἰέν	ai)e/n	ἀεί	a)ei/	urn:cite2:hmt:lsj.chicago_md:n1564	d--------
αἰένυπνον	ai)e/nupnon	αἰένυπνος	ai)e/nupnos	urn:cite2:hmt:lsj.chicago_md:n2278	n-s---ma-
αἰένυπνον	ai)e/nupnon	αἰένυπνος	ai)e/nupnos	urn:cite2:hmt:lsj.chicago_md:n2278	n-s---fa-
αἰένυπνον	ai)e/nupnon	αἰένυπνος	ai)e/nupnos	urn:cite2:hmt:lsj.chicago_md:n2278	n-s---nn-
αἰένυπνον	ai)e/nupnon	αἰένυπνος	ai)e/nupnos	urn:cite2:hmt:lsj.chicago_md:n2278	n-s---nv-
αἰένυπνον	ai)e/nupnon	αἰένυπνος	ai)e/nupnos	urn:cite2:hmt:lsj.chicago_md:n2278	n-s---na-
αἰῶνα	ai)w=na	αἰών	ai)w/n	urn:cite2:hmt:lsj.chicago_md:n2815	n-s---ma-
αἱ	ai(	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---fn-
αἱ	ai(	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-p---fv-
αἱματηράς	ai(mathra/s	αἱματηρός	ai(mathro/s	urn:cite2:hmt:lsj.chicago_md:n2412	a-p---fa-
αἴσθηται	ai)/sqhtai	αἰσθάνομαι	ai)sqa/nomai	urn:cite2:hmt:lsj.chicago_md:n2665	v3sasm---
αἴσθηται	ai)/sqhtai	αἰσθάνομαι	ai)sqa/nomai	urn:cite2:hmt:lsj.chicago_md:n2665	v3spse---
αἴσιος	ai)/sios	αἴσιος	ai)/sios	urn:cite2:hmt:lsj.chicago_md:n2682	a-s---mn-
αἴσιος	ai)/sios	αἴσιος	ai)/sios	urn:cite2:hmt:lsj.chicago_md:n2682	n-s---mn-
αἴσιος	ai)/sios	αἴσιος	ai)/sios	urn:cite2:hmt:lsj.chicago_md:n2682	n-s---fn-
αἴσιος	ai)/sios	αἶσις	ai)=sis	urn:cite2:hmt:lsj.chicago_md:n2683	n-s---fg-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	urn:cite2:hmt:lsj.chicago_md:n2777	a-s---ma-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	urn:cite2:hmt:lsj.chicago_md:n2777	a-s---nn-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	urn:cite2:hmt:lsj.chicago_md:n2777	a-s---nv-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	urn:cite2:hmt:lsj.chicago_md:n2777	a-s---na-
αἴτιον	ai)/tion	αἴτιος	ai)/tios	urn:cite2:hmt:lsj.chicago_md:n2777	n-s---ma-
