’	e)\	- no urn found -	ἒ
ἀκουστέα	a)kouste/os	- no urn found -	ἀκουστέος
ἀκουστέα	a)kouste/os	- no urn found -	ἀκουστέος
ἀκουστέα	a)kouste/os	- no urn found -	ἀκουστέος
ἀνδρεῖά	a)ndrei=a	- no urn found -	ἀνδρεῖα
ἀνδρεῖά	a)ndrei=a	- no urn found -	ἀνδρεῖα
ἀνδρεῖά	a)ndrei=a	- no urn found -	ἀνδρεῖα
ἀνδροδάικτον	a)ndroda/iktos	- no urn found -	ἀνδροδάικτος
ἀνδροδάικτον	a)ndroda/iktos	- no urn found -	ἀνδροδάικτος
ἀνδροδάικτον	a)ndroda/iktos	- no urn found -	ἀνδροδάικτος
ἀνδροδάικτον	a)ndroda/iktos	- no urn found -	ἀνδροδάικτος
ἀνδροδάικτον	a)ndroda/iktos	- no urn found -	ἀνδροδάικτος
ἀποθανεῖν	a)poqnh/skw	- no urn found -	ἀποθνήσκω
ἀποπαρδήσομαι	para/-de/omai	- no urn found -	παρά-δέομαι
ἀποπαρδήσομαι	para/-de/omai	- no urn found -	παρά-δέομαι
ἀπῇξας	a)pai/ssw	- no urn found -	ἀπαίσσω
ἀτεχνῶς	a)texnw=s	- no urn found -	ἀτεχνῶς
ἀφιγμένοισιν	a)fi/zw	- no urn found -	ἀφίζω
ἀφιγμένοισιν	a)fi/zw	- no urn found -	ἀφίζω
ἀφιγμένος	a)fi/zw	- no urn found -	ἀφίζω
ἀφιγμένω	a)fi/zw	- no urn found -	ἀφίζω
ἀφιγμένω	a)fi/zw	- no urn found -	ἀφίζω
ἀφιγμένω	a)fi/zw	- no urn found -	ἀφίζω
ἀφιγμένω	a)fi/zw	- no urn found -	ἀφίζω
ἀφιγμένω	a)fi/zw	- no urn found -	ἀφίζω
ἀφιγμένω	a)fi/zw	- no urn found -	ἀφίζω
ἀφιγμένω	a)fi/zw	- no urn found -	ἀφίζω
ἀφιγμένω	a)fi/zw	- no urn found -	ἀφίζω
ἀφιξόμεθ’	a)fi/zw	- no urn found -	ἀφίζω
ἀφιξόμεθ’	a)fi/zw	- no urn found -	ἀφίζω
ἅττε	a)i/ssw	- no urn found -	ἀίσσω
Ἀγάθων	*)aga/qwn	- no urn found -	Ἀγάθων
Ἀγάθων	*)aga/qwn	- no urn found -	Ἀγάθων
Ἀγήνορος	*)agh/nwr	- no urn found -	Ἀγήνωρ
Ἀδειμάντου	*)adei/mantos	- no urn found -	Ἀδείμαντος
Ἀθηναίοισι	*)aqh/naios	- no urn found -	Ἀθήναιος
Ἀθηναίων	*)aqh/naios	- no urn found -	Ἀθήναιος
Ἀλκιβιάδου	*)alkibia/dhs	- no urn found -	Ἀλκιβιάδης
Ἀλκμήνης	*)alkmh/nh	- no urn found -	Ἀλκμήνη
Ἀνδρομέδαν	*)androme/dh	- no urn found -	Ἀνδρομέδη
Ἀρχενόμῳ	*)arxe/nomos	- no urn found -	Ἀρχένομος
Ἀρχέδημον	*)arxe/dhmos	- no urn found -	Ἀρχέδημος
Ἀτρέως	*)atreu/s	- no urn found -	Ἀτρεύς
Ἀτρέως	*)atreu/s	- no urn found -	Ἀτρεύς
Ἀτρέως	*)atreu/s	- no urn found -	Ἀτρεύς
Ἀχαιῶν	a)xaia/	- no urn found -	ἀχαιά
Ἀχερόντιός	*)axero/ntios	- no urn found -	Ἀχερόντιος
Ἄρεως	*)/areus	- no urn found -	Ἄρευς
Ἄρεως	*)/aris	- no urn found -	Ἄρις
ἐγγύτατα	e)ggu/tatos	- no urn found -	ἐγγύτατος
ἐγγύτατα	e)ggu/tatos	- no urn found -	ἐγγύτατος
ἐγγύτατα	e)ggu/tatos	- no urn found -	ἐγγύτατος
ἐνοῦσαν	e)n-ei)mi/	- no urn found -	ἐν-εἰμί
ἐξόπισθ’	e)co/pisqe	- no urn found -	ἐξόπισθε
ἐξᾴξας	e)cai/ssw	- no urn found -	ἐξαίσσω
ἐξᾴξας	e)cai/ssw	- no urn found -	ἐξαίσσω
ἐξᾴξας	e)cai/ssw	- no urn found -	ἐξαίσσω
ἐξᾴξας	e)cai/ssw	- no urn found -	ἐξαίσσω
ἐξᾴξας	e)cai/ssw	- no urn found -	ἐξαίσσω
ἐπεδείκνυτο	e)pidei/knumi	- no urn found -	ἐπιδείκνυμι
ἐπίσχες	e)pw/xato	- no urn found -	ἐπώχατο
ἐρεῖ	e)ra/omai	- no urn found -	ἐράομαι
ἐρεῖ	e)re/omai	- no urn found -	ἐρέομαι
ἐρᾷ	e)ra/omai	- no urn found -	ἐράομαι
ἐρᾷ	e)ra/omai	- no urn found -	ἐράομαι
ἐρῶ	e)ra/omai	- no urn found -	ἐράομαι
ἐρῶ	e)ra/omai	- no urn found -	ἐράομαι
ἐτῶν	e)/tai	- no urn found -	ἔται
ἐφεξῆς	e)pw/xato	- no urn found -	ἐπώχατο
ἔγημεν	e)/ssomai	- no urn found -	ἔσσομαι
ἔξω	e)/ssomai	- no urn found -	ἔσσομαι
ἔπταρον	ptai/rw%	- no urn found -	πταίρω#
ἔπταρον	ptai/rw%	- no urn found -	πταίρω#
ἔργοισι	e)/rgnumi	- no urn found -	ἔργνυμι
ἔργοισι	e)/rgnumi	- no urn found -	ἔργνυμι
ἔργον	e)/rgnumi	- no urn found -	ἔργνυμι
ἔργον	e)/rgnumi	- no urn found -	ἔργνυμι
ἔργον	e)/rgnumi	- no urn found -	ἔργνυμι
ἔργον	e)/rgnumi	- no urn found -	ἔργνυμι
ἔργων	e)/rgnumi	- no urn found -	ἔργνυμι
ἔσει	se/w	- no urn found -	σέω
ἔχθρας	e)/xqrh	- no urn found -	ἔχθρη
ἔχθρας	e)/xqrh	- no urn found -	ἔχθρη
Ἐπίδαυρον	*)epi/dauros	- no urn found -	Ἐπίδαυρος
Ἐρασινίδου	*)erasini/dhs	- no urn found -	Ἐρασινίδης
Ἐριούνιον	*)eriou/nios	- no urn found -	Ἐριούνιος
Ἑκαταίων	*(eka/taios	- no urn found -	Ἑκάταιος
Ἑκαταίων	*(eka/taios	- no urn found -	Ἑκάταιος
Ἑκαταίων	*(eka/taios	- no urn found -	Ἑκάταιος
Ἔρυξιν	*)/eruc	- no urn found -	Ἔρυξ
Ἔρυξιν	*)eru/cis	- no urn found -	Ἐρύξις
ἡμιωβολιαῖα	h(miwboliai=os	- no urn found -	ἡμιωβολιαῖος
ἡμιωβολιαῖα	h(miwboliai=os	- no urn found -	ἡμιωβολιαῖος
ἡμιωβολιαῖα	h(miwboliai=os	- no urn found -	ἡμιωβολιαῖος
ἡμή	h(mo/s	- no urn found -	ἡμός
ἡμή	h(mo/s	- no urn found -	ἡμός
ἡμᾶς	h(mo/s	- no urn found -	ἡμός
ἡμῶν	h(mo/s	- no urn found -	ἡμός
ἡμῶν	h(mo/s	- no urn found -	ἡμός
ἡμῶν	h(mo/s	- no urn found -	ἡμός
Ἡγέλοχος	*(hge/loxos	- no urn found -	Ἡγέλοχος
Ἡρακλέα	*(hra/klea	- no urn found -	Ἡράκλεα
Ἡρακλέα	*(hra/klea	- no urn found -	Ἡράκλεα
Ἡρακλέα	*(hra/klea	- no urn found -	Ἡράκλεα
Ἡράκλεια	*(hra/kleia	- no urn found -	Ἡράκλεια
Ἡράκλεια	*(hra/kleia	- no urn found -	Ἡράκλεια
ἰδεῖν	i)de/w	- no urn found -	ἰδέω
ἰδίων	i)de/w	- no urn found -	ἰδέω
ἰχθῦς	i)xqu/s	- no urn found -	ἰχθύς
ἰχθῦς	i)xqu/s	- no urn found -	ἰχθύς
ἰχθῦς	i)xqu/s	- no urn found -	ἰχθύς
ἰχθῦς	i)xqu/s	- no urn found -	ἰχθύς
ἰχθῦς	i)xqu/s	- no urn found -	ἰχθύς
ἱεράς	i(erai/	- no urn found -	ἱεραί
ἱερῶν	i(erai/	- no urn found -	ἱεραί
Ἰοφῶν	*)iofw=n	- no urn found -	Ἰοφῶν
Ἰοφῶντ’	*)iofw=n	- no urn found -	Ἰοφῶν
Ἰοφῶντ’	*)iofw=n	- no urn found -	Ἰοφῶν
Ἱππώνακτος	*(/ippwnac	- no urn found -	Ἵππωναξ
Ἴδας	*)/idh	- no urn found -	Ἴδη
Ἴδας	*)/idh	- no urn found -	Ἴδη
Ἴδας	*)/idhs	- no urn found -	Ἴδης
ὀρίγανον	o)ri/ganos	- no urn found -	ὀρίγανος
ὀφρῦς	o)fru/s	- no urn found -	ὀφρύς
ὀφρῦς	o)fru/s	- no urn found -	ὀφρύς
ὀφρῦς	o)fru/s	- no urn found -	ὀφρύς
ὁμομαστιγίας	o(momastigi/hs	- no urn found -	ὁμομαστιγίης
ὁμομαστιγίας	o(momastigi/hs	- no urn found -	ὁμομαστιγίης
ὄμβρον	o/)mbros	- no urn found -	ό̓μβρος
ὅλον	o(/loc	- no urn found -	ὅλοξ
ὅλον	o(/loc	- no urn found -	ὅλοξ
ὅλον	o(/loc	- no urn found -	ὅλοξ
ὅλον	o(/loc	- no urn found -	ὅλοξ
Ὀρέστην	*)ore/sths	- no urn found -	Ὀρέστης
Ὀρέστης	*)ore/sths	- no urn found -	Ὀρέστης
ὑποτοπεῖσθαι	u(potope/omai	- no urn found -	ὑποτοπέομαι
ὑπᾴδων	u(paei/dw	- no urn found -	ὑπαείδω
ὑπᾴσατε	u(paei/dw	- no urn found -	ὑπαείδω
ὑπᾴσατε	u(paei/dw	- no urn found -	ὑπαείδω
ὑπᾴσατε	u(paei/dw	- no urn found -	ὑπαείδω
Ὑπέρβολον	*(upe/rbolos	- no urn found -	Ὑπέρβολος
ᾤχετ’	o)i/zw	- no urn found -	ὀίζω
ᾤχετ’	o)i/zw	- no urn found -	ὀίζω
ᾤχετ’	o)i/zw	- no urn found -	ὀίζω
ῥῆσιν	r(e/omai	- no urn found -	ῥέομαι
