’	e)\	- no urn found -	ἒ
Κλέωνά	*klew/nhs	- no urn found -	Κλεώνης
Κλέωνά	*klew/nhs	- no urn found -	Κλεώνης
Κλέων’	*kle/wn	- no urn found -	Κλέων
Κλέων’	*kle/wn	- no urn found -	Κλέων
Κλέων’	*kle/wn	- no urn found -	Κλέων
Κλέων’	*kle/wn	- no urn found -	Κλέων
Κλέων’	*kle/wn	- no urn found -	Κλέων
Κλέων’	*klew/nh	- no urn found -	Κλεώνη
Κλέων’	*klew/nh	- no urn found -	Κλεώνη
Κλέων’	*klew/nhs	- no urn found -	Κλεώνης
Κλέων’	*klew/nhs	- no urn found -	Κλεώνης
Κλέων’	*klew/nhs	- no urn found -	Κλεώνης
Κλέων’	*klew/nhs	- no urn found -	Κλεώνης
Κρατίνου	*kra/tinos	- no urn found -	Κράτινος
Κρατίνου	*krati=nos	- no urn found -	Κρατῖνος
Κωκυτοῦ	*kwkuto/s	- no urn found -	Κωκυτός
Κωκυτοῦ	*kwkuto/s	- no urn found -	Κωκυτός
Κύκνους	*ku/knos	- no urn found -	Κύκνος
Λευκολόφου	*leukolo/fhs	- no urn found -	Λευκολόφης
Λάμαχος	*la/maxos	- no urn found -	Λάμαχος
Λάμαχος	*la/maxos	- no urn found -	Λάμαχος
Λήθης	*lh/qh	- no urn found -	Λήθη
Λίμναισιν	*li/mnai	- no urn found -	Λίμναι
Λίμναισιν	*li/mnh	- no urn found -	Λίμνη
Λύκις	*lu/kis	- no urn found -	Λύκις
Μακάρων	*ma/kar	- no urn found -	Μάκαρ
Μανία	*mani/a	- no urn found -	Μανία
Μανία	*mani/a	- no urn found -	Μανία
Μανία	*mani/a	- no urn found -	Μανία
Μανία	*mani/a	- no urn found -	Μανία
Μανία	*mani/a	- no urn found -	Μανία
Μανία	*mani/h	- no urn found -	Μανίη
Μανία	*mani/h	- no urn found -	Μανίη
Μανία	*mani/h	- no urn found -	Μανίη
Μανία	*mani/h	- no urn found -	Μανίη
Μανία	*mani/h	- no urn found -	Μανίη
Μελέαγρον	*mele/agros	- no urn found -	Μελέαγρος
Μελέαγρον	mele/agron	- no urn found -	μελέαγρον
Μελέαγρον	mele/agron	- no urn found -	μελέαγρον
