Αἰγύπτιος	*ai)gu/ptios	Αἰγύπτιος	*ai)gu/ptios	a-s---mn-
Εὐελπίδης	*eu)elpi/dhs	Εὐελπίδης	*eu)elpi/dhs	n-s---mn-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	v2siie---
Ζηνός	*zhno/s	Ζεύς	*zeu/s	n-s---mg-
Θαλῆς	*qalh=s	Θαλῆς	*qalh=s	n-s---mn-
Θαλῆς	*qalh=s	θάλλω	qa/llw	v2sfia---
Θαλῆς	*qalh=s	θαλέω	qale/w	v2spia---
Θαλῆς	*qalh=s	θηλέω	qhle/w	v2spia---
Θαρρελείδου	*qarrelei/dou	Θαρρελείδης	*qarrelei/dhs	n-s---mg-
Θεογένει	*qeoge/nei	Θεογένης	*qeoge/nhs	n-d---mn-
Θεογένει	*qeoge/nei	Θεογένης	*qeoge/nhs	n-d---mv-
Θεογένει	*qeoge/nei	Θεογένης	*qeoge/nhs	n-d---ma-
Θεογένει	*qeoge/nei	Θεογένης	*qeoge/nhs	n-s---md-
Θεογένει	*qeoge/nei	Θεογένης	*qeoge/nhs	n-s---md-
Θεογένης	*qeoge/nhs	Θεογένης	*qeoge/nhs	n-p---ma-
Θεογένης	*qeoge/nhs	Θεογένης	*qeoge/nhs	n-p---mn-
Θεογένης	*qeoge/nhs	Θεογένης	*qeoge/nhs	n-p---mv-
Θεογένης	*qeoge/nhs	Θεογένης	*qeoge/nhs	n-s---mn-
Θεογένους	*qeoge/nous	Θεογένης	*qeoge/nhs	n-s---mg-
Θεσμοφορίοις	*qesmofori/ois	θεσμοφόριον	qesmofo/rion	n-p---nd-
Θεσμοφορίοις	*qesmofori/ois	θεσμοφόριος	qesmofo/rios	n-p---md-
Θρᾴκης	*qra/|khs	Θρᾳκία	*qra|ki/a	n-s---fg-
Καλλίας	*kalli/as	Καλλίας	*kalli/as	n-p---ma-
Καλλίας	*kalli/as	Καλλίας	*kalli/as	n-s---mn-
Καλλίας	*kalli/as	καλλία	kalli/a	n-p---fa-
Καλλίας	*kalli/as	καλλία	kalli/a	n-s---fg-
Καλλίας	*kalli/as	καλλίας	kalli/as	n-p---ma-
Καλλίας	*kalli/as	καλλίας	kalli/as	n-s---mn-
Καλλίου	*kalli/ou	Κάλλιον	*ka/llion	n-s---ng-
Καλλίου	*kalli/ou	Καλλίας	*kalli/as	n-s---mg-
Καλλίου	*kalli/ou	καλλίας	kalli/as	n-s---mg-
Καλλίου	*kalli/ou	καλλιόω	kallio/w	v2spma---
Καλλίου	*kalli/ou	καλλιόω	kallio/w	v3siia---
Καρδίας	*kardi/as	Καρδίη	*kardi/h	n-p---fa-
Καρδίας	*kardi/as	Καρδίη	*kardi/h	n-s---fg-
Καρδίας	*kardi/as	καρδία	kardi/a	n-p---fa-
Καρδίας	*kardi/as	καρδία	kardi/a	n-s---fg-
Καρδίας	*kardi/as	καρδιάω	kardia/w	v2siia---
Κεβριόνη	*kebrio/nh	Κεβριόνης	*kebrio/nhs	n-s---mv-
Κεκροπίδα	*kekropi/da	Κέκροψ	*ke/kroy	n-d---mn-
Κεκροπίδα	*kekropi/da	Κέκροψ	*ke/kroy	n-d---mv-
Κεκροπίδα	*kekropi/da	Κέκροψ	*ke/kroy	n-d---ma-
Κεκροπίδα	*kekropi/da	Κέκροψ	*ke/kroy	n-s---mv-
Κεκροπίδα	*kekropi/da	Κέκροψ	*ke/kroy	n-s---mg-
Κεκροπίδα	*kekropi/da	Κέκροψ	*ke/kroy	n-s---mn-
Κεκροπίδα	*kekropi/da	Κεκροπίς	*kekropi/s	n-s---fa-
Κεραμεικός	*kerameiko/s	Κεραμεικός	*kerameiko/s	n-s---mn-
Κεραμεικός	*kerameiko/s	κεραμεικός	kerameiko/s	a-s---mn-
Κινησίαν	*kinhsi/an	Κινησίας	*kinhsi/as	n-s---ma-
Κλεισθένης	*kleisqe/nhs	Κλεισθένης	*kleisqe/nhs	n-p---ma-
Κλεισθένης	*kleisqe/nhs	Κλεισθένης	*kleisqe/nhs	n-p---mn-
Κλεισθένης	*kleisqe/nhs	Κλεισθένης	*kleisqe/nhs	n-p---mv-
Κλεισθένης	*kleisqe/nhs	Κλεισθένης	*kleisqe/nhs	n-s---mn-
Κλεοκρίτου	*kleokri/tou	Κλεόκριτος	*kleo/kritos	n-s---mg-
Κλεψύδρᾳ	*kleyu/dra|	Κλεψύδρη	*kleyu/drh	n-s---fd-
Κλεψύδρᾳ	*kleyu/dra|	κλεψύδρα	kleyu/dra	n-p---fn-
Κλεψύδρᾳ	*kleyu/dra|	κλεψύδρα	kleyu/dra	n-p---fv-
Κλεψύδρᾳ	*kleyu/dra|	κλεψύδρα	kleyu/dra	n-s---fd-
Κλεώνυμος	*klew/numos	Κλεώνυμος	*klew/numos	n-s---mn-
Κλεώνυμός	*klew/numo/s	Κλεώνυμος	*klew/numos	n-s---mn-
