urn:cts:greekLit:tlg0019.tlg009.fu.sp:7.1.text.token1	θαρρῶν	qarrw=n	θαρσέω	qarse/w	urn:cite2:hmt:lsj.chicago_md:n47897	v-sppamn-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:7.1.text.token2	γε	ge	γε	ge	urn:cite2:hmt:lsj.chicago_md:n21705	g--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:7.1.text.token4	μόνον	mo/non	μόνος	mo/nos	urn:cite2:hmt:lsj.chicago_md:n68641	a-s---na-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:7.1.text.token5	ἐκεῖν’	e)kei=n'	ἐκεῖνος	e)kei=nos	urn:cite2:hmt:lsj.chicago_md:n31951	n-s---na-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:7.1.text.token6	ὅπως	o(/pws	ὅπως	o(/pws	urn:cite2:hmt:lsj.chicago_md:n74713	c--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:7.1.text.token7	μή	mh/	μή	mh/	urn:cite2:hmt:lsj.chicago_md:n67283	c--------
urn:cts:greekLit:tlg0019.tlg009.fu.sp:7.1.text.token8	ἐρεῖς	e)rei=s	ἐρῶ	e)rw=	urn:cite2:hmt:lsj.chicago_md:n42830	v2sfia---
urn:cts:greekLit:tlg0019.tlg009.fu.sp:7.2.text.token1	τό	to/	ὁ	o(	urn:cite2:hmt:lsj.chicago_md:n71882	l-s---na-
urn:cts:greekLit:tlg0019.tlg009.fu.sp:7.2.text.token2	τί	ti/	τίς	ti/s	urn:cite2:hmt:lsj.chicago_md:n104051a	n-s---na-
