urn:cite2:hmt:lsj.chicago_md:n0	A a	a a
urn:cite2:hmt:lsj.chicago_md:n1	a)	a
urn:cite2:hmt:lsj.chicago_md:n2	a)	a
urn:cite2:hmt:lsj.chicago_md:n3	a)=	a
urn:cite2:hmt:lsj.chicago_md:n4	a(\ a(\	a a
urn:cite2:hmt:lsj.chicago_md:n5	a)/a	aa
urn:cite2:hmt:lsj.chicago_md:n6	a)a/atos	aaatos
urn:cite2:hmt:lsj.chicago_md:n7	a)a/baktoi	aabaktoi
urn:cite2:hmt:lsj.chicago_md:n8	a)agh/s	aaghs
urn:cite2:hmt:lsj.chicago_md:n9	a)/ada	aada
urn:cite2:hmt:lsj.chicago_md:n9a	a)adh/s	aadhs
urn:cite2:hmt:lsj.chicago_md:n10	a)a/zw	aazw
urn:cite2:hmt:lsj.chicago_md:n11	a)/aqi	aaqi
urn:cite2:hmt:lsj.chicago_md:n12	a)a/katos	aakatos
urn:cite2:hmt:lsj.chicago_md:n13	a)aki/dwtos	aakidwtos
urn:cite2:hmt:lsj.chicago_md:n14	a)a/lion	aalion
urn:cite2:hmt:lsj.chicago_md:n15	a)ane/s	aanes
urn:cite2:hmt:lsj.chicago_md:n16	a)/anqa	aanqa
urn:cite2:hmt:lsj.chicago_md:n17	a)a/pletos	aapletos
urn:cite2:hmt:lsj.chicago_md:n18	a)/aptos	aaptos
urn:cite2:hmt:lsj.chicago_md:n19	a)/as	aas
urn:cite2:hmt:lsj.chicago_md:n20	a)asifo/ros	aasiforos
urn:cite2:hmt:lsj.chicago_md:n21	a)asifroni/a	aasifronia
urn:cite2:hmt:lsj.chicago_md:n22	a)asifrosu/nh	aasifrosunh
urn:cite2:hmt:lsj.chicago_md:n23	a)a/skei	aaskei
urn:cite2:hmt:lsj.chicago_md:n24	a)asmo/s	aasmos
urn:cite2:hmt:lsj.chicago_md:n25	a)a/spetos	aaspetos
urn:cite2:hmt:lsj.chicago_md:n26	a)a/stona	aastona
urn:cite2:hmt:lsj.chicago_md:n27	a)ath/r	aathr
urn:cite2:hmt:lsj.chicago_md:n28	a)/atos	aatos
urn:cite2:hmt:lsj.chicago_md:n29	a)/atos	aatos
urn:cite2:hmt:lsj.chicago_md:n30	a)a/tulon	aatulon
urn:cite2:hmt:lsj.chicago_md:n31	a)a/w	aaw
urn:cite2:hmt:lsj.chicago_md:n32	a)/ba	aba
urn:cite2:hmt:lsj.chicago_md:n33	a)/bagna	abagna
urn:cite2:hmt:lsj.chicago_md:n33a	a)ba/distos	abadistos
urn:cite2:hmt:lsj.chicago_md:n34	a)baqh/s	abaqhs
urn:cite2:hmt:lsj.chicago_md:n35	a)/baqros	abaqros
urn:cite2:hmt:lsj.chicago_md:n36	a)bai/nw	abainw
urn:cite2:hmt:lsj.chicago_md:n37	a)bake/w	abakew
urn:cite2:hmt:lsj.chicago_md:n38	a)bakhnou/s	abakhnous
urn:cite2:hmt:lsj.chicago_md:n39	a)bakh/s	abakhs
urn:cite2:hmt:lsj.chicago_md:n40	a)ba/khton	abakhton
urn:cite2:hmt:lsj.chicago_md:n41	a)baki/zomai	abakizomai
urn:cite2:hmt:lsj.chicago_md:n42	a)ba/kion	abakion
urn:cite2:hmt:lsj.chicago_md:n43	a)baki/skos	abakiskos
urn:cite2:hmt:lsj.chicago_md:n44	a)baklh/	abaklh
urn:cite2:hmt:lsj.chicago_md:n45	a)bakoeidh/s	abakoeidhs
urn:cite2:hmt:lsj.chicago_md:n46	a)/bakton	abakton
urn:cite2:hmt:lsj.chicago_md:n47	a)ba/kxeutos	abakxeutos
urn:cite2:hmt:lsj.chicago_md:n48	a)bakxi/wtos	abakxiwtos
urn:cite2:hmt:lsj.chicago_md:n49	a)/bale	abale
urn:cite2:hmt:lsj.chicago_md:n50	a)bamba/keutos	abambakeutos
urn:cite2:hmt:lsj.chicago_md:n51	a)/bac	abac
urn:cite2:hmt:lsj.chicago_md:n52	a)ba/ptistos	abaptistos
urn:cite2:hmt:lsj.chicago_md:n53	a)/baptos	abaptos
urn:cite2:hmt:lsj.chicago_md:n54	a)barba/ristos	abarbaristos
urn:cite2:hmt:lsj.chicago_md:n55	a)barh/s	abarhs
urn:cite2:hmt:lsj.chicago_md:n56	a)/baris	abaris
urn:cite2:hmt:lsj.chicago_md:n57	a)basa/nistos	abasanistos
urn:cite2:hmt:lsj.chicago_md:n58	a)basi/leutos	abasileutos
urn:cite2:hmt:lsj.chicago_md:n59	a)baska/nistos	abaskanistos
urn:cite2:hmt:lsj.chicago_md:n60	a)ba/skanos	abaskanos
urn:cite2:hmt:lsj.chicago_md:n61	a)ba/skantos	abaskantos
urn:cite2:hmt:lsj.chicago_md:n62	a)ba/staktos	abastaktos
