urn:cite2:hmt:lsj.chicago_md:n48	ἀβακχίωτος; having no part in Bacchus, undrinkable
urn:cite2:hmt:lsj.chicago_md:n49	ἄβαλε; O that.. 
urn:cite2:hmt:lsj.chicago_md:n50	ἀβαμβάκευτος; not seasoned
urn:cite2:hmt:lsj.chicago_md:n51	ἄβαξ; slab, board; reckoning-board; board; dice-board; sideboard; trencher, plate; abacus, slab; marble wall-slab
urn:cite2:hmt:lsj.chicago_md:n52	ἀβάπτιστος; not to be dipped, that will not sink; with a guard, to stop it from going too deep; not drenched with liquor
urn:cite2:hmt:lsj.chicago_md:n53	ἄβαπτος; not tempered
urn:cite2:hmt:lsj.chicago_md:n54	ἀβαρβάριστος; without barbarisms
urn:cite2:hmt:lsj.chicago_md:n55	ἀβαρής; without weight; light; not offensive; not burdensome; without giving offence; without taking offence
urn:cite2:hmt:lsj.chicago_md:n56	ἄβαρις; having no boat, landsman
urn:cite2:hmt:lsj.chicago_md:n57	ἀβασάνιστος; not tortured; without pain; untried, unexamined; without due examination
urn:cite2:hmt:lsj.chicago_md:n58	ἀβασίλευτος; not ruled by a king; free from rule
urn:cite2:hmt:lsj.chicago_md:n59	ἀβασκάνιστος; free from malice
urn:cite2:hmt:lsj.chicago_md:n60	ἀβάσκανος; free from envy; unprejudiced
urn:cite2:hmt:lsj.chicago_md:n61	ἀβάσκαντος; secure against enchantments, free from harm; acting as a charm; protection against witchcraft; not harming
urn:cite2:hmt:lsj.chicago_md:n62	ἀβάστακτος; not to be borne; carried; not removable
urn:cite2:hmt:lsj.chicago_md:n63	ἄβαστον
urn:cite2:hmt:lsj.chicago_md:n64	ἀβατόομαι; to be made desert
urn:cite2:hmt:lsj.chicago_md:n65	ἄβατος; untrodden; impassable; not fordable; desolate; inaccessible; …[3 omitted]… bidental; not ridden; that hinders walking
urn:cite2:hmt:lsj.chicago_md:n66	ἀβαφής
urn:cite2:hmt:lsj.chicago_md:n67	ἄβδελον
